; Semiconductors & Semiconductor Equipment; Biotechnology; Software; Construction Materials; Pharmaceuticals; Internet Software & Services; Communications Equipment; Oil, Gas & Consumable Fuels; Multiline Retail; Health Care Equipment & Supplies; Hotels, Restaurants & Leisure; Media; Diversified Telecommunication Services; Electrical Equipment; Food Products; Energy Equipment & Services; Banks; Life Sciences Tools & Services; Thrifts & Mortgage Finance; Insurance; Internet & Direct Marketing Retail; Building Products; Textiles, Apparel & Luxury Goods; Capital Markets; Commercial Services & Supplies; Electronic Equipment, Instruments & Components; Leisure Products; IT Services; Beverages; Chemicals; Personal Products; Household Durables; Health Care Providers & Services; Technology Hardware, Storage & Peripherals; Specialty Retail; Construction & Engineering; Real Estate Management & Development; NULL; Professional Services; Aerospace & Defense; Diversified Consumer Services; Trading Companies & Distributors; Marine; Auto Components; Containers & Packaging; Metals & Mining; Machinery; Health Care Technology; Road & Rail; Water Utilities; Equity Real Estate Investment Trusts (REITs); Mortgage Real Estate Investment Trusts (REITs); Consumer Finance; Paper & Forest Products; Independent Power and Renewable Electricity Producers; Diversified Financial Services; Distributors; Household Products; Transportation Infrastructure; Gas Utilities; Food & Staples Retailing; Air Freight & Logistics; Automobiles; Airlines; Wireless Telecommunication Services; Electric Utilities; Industrial Conglomerates; Tobacco; Multi-Utilities; 
991018_000401; 1.39019587059; 1.64029771248; 0.833528363188; 0.0838850067281; 0.0146505868864; 0.729341694837; 1.26236091331; 0.0705800851486; 0.144172697685; 0.2419082609; 0.0851086920469; 0.37803044177; 0.426313292879; -0.0440330306717; -0.147942019602; 0.446840839444; 0.0338434226549; 0.671487861581; -0.0982638006924; 0.166678262267; -0.0582672689076; -0.000330462387874; -0.065244116732; 0.363771122193; 0.0552286246156; 1.18239581532; -0.0851480458529; 0.614051896609; 0.0735752353644; 0.035898035543; -0.217462051489; 0.275865072181; 0.14891748908; 0.925008056084; 0.195892633691; 0.335951768983; 0.0710721809778; 0.218426293671; 0.241563782341; -0.0320432082426; -0.0163819413868; 0.238285605267; 0.0936322744347; 0.00445687606583; -0.0825811354799; 0.00534481182128; -0.0768033296158; 1.30556572271; -0.112845028015; -0.113301228953; 0.191993525348; 0.0433518452815; 0.0986651783939; 0.0868695054841; 0.0493595424602; 0.0100450971185; 0.0828134376154; -0.234821181184; 0; -0.0807360013516; 0.0997608822902; -0.0233766660628; 0.378353338423; 0.23643171014; 1.24892514977; -0.0751722986486; 0.197509985441; -0.267064187544; -0.088635423287; 
991018_991119; 0.37001225883; 0.284210220274; 0.220091527326; 0.0863132537551; 0.0821606066771; 0.294496514832; 0.329251523459; 0.0742375235666; -0.011884873874; 0.127698712665; 0.107419607447; 0.236670028003; 0.209229103858; 0.00290544622669; 0.0303665795176; 0.17550783528; 0.115128024906; 0.0803637342024; 0.0657159653595; 0.148406756287; 0.0442552908888; -0.0103022749046; -0.0543773107473; 0.239284105956; 0.012165512337; 0.325354185745; 0.128534890547; 0.167503297672; 0.0778829059062; 0.0679614196718; -0.157248993892; 0.153962229991; 0.121985066001; 0.260270366949; 0.0911726779889; 0.0391008389066; -0.0276639955313; 0.0200311717448; 0.0589548015328; 0.0195678583654; 0.141754210261; 0.0799848693944; -0.0452689389277; -0.0472572932364; 0.057825645789; 0.0943624557395; -0.00418486731809; 0.476352454123; 0.0874404139089; -0.028299448648; 0.0549633782577; 0.00207110586971; 0.156476923343; 0.0146818504949; 0.121876525409; 0.0243477967247; 0.0437268890558; 0.161989009698; 0; 0.0119336524504; 0.106439409366; 0.00469763560129; 0.0633430568116; 0.107935419048; 0.322601076238; -0.0267370996327; 0.148700304921; -0.169090212219; -0.0131332888726; 
991018_000306; 1.38041935925; 3.43241766804; 0.880787935617; -0.022113818407; -0.0768549807586; 0.978363095756; 1.26196877076; -0.0495874102254; -0.116799701727; 0.217262973273; -0.0496447949276; 0.332265199896; 0.471876973772; -0.0946782020843; -0.220416960738; 0.381354212331; -0.040950757084; 1.03145820053; -0.137271557194; -0.108506052151; -0.0599305802227; -0.144806070343; -0.209786073154; 0.303436851328; -0.0078751113827; 1.25617372492; -0.118285587539; 0.681542355548; 0.013674203926; -0.09020864624; -0.273334549524; 0.174523181044; 0.0571914148579; 0.804982253109; -0.0344232511081; 0.150410637425; -0.0264140082097; 0.111959300352; 0.17309041144; -0.159175260845; -0.0690216863187; 0.0667722615482; 0.0296932198777; -0.0708277146294; -0.207260870201; -0.0497721304334; -0.143004304222; 1.92991805968; -0.158143189706; -0.194642344067; 0.181277543732; 0.00915301477561; -0.0749769743367; 0.0235499789494; 0.0196792401942; -0.201085099069; -0.0279795439475; -0.0531928721662; 0; -0.149670160674; -0.0105601351901; -0.134692705856; 0.107889759799; 0.118689955602; 1.54074906005; -0.145518170177; 0.108664889994; -0.331724365764; -0.159800333692; 
991119_000306; 0.755026637163; 2.38388836467; 0.470176987236; -0.101829294189; -0.147122646403; 0.496042071305; 0.69328728608; -0.115849094252; -0.107206487707; 0.0618812783046; -0.148346969576; 0.0646626430049; 0.1869782174; -0.0930857894955; -0.24106671951; 0.17628760905; -0.134982457127; 0.944214398494; -0.184893234411; -0.217286930604; -0.101786464718; -0.139298364305; -0.160617339921; 0.0436997541972; -0.0132891549734; 0.751911498693; -0.24140712942; 0.352111966569; -0.0612166133303; -0.153231511122; -0.141351729336; 0.012602014289; -0.0657515955906; 0.418547198174; -0.118032301716; 0.0876054714203; -0.000967327426354; 0.0864618149575; 0.0998962082795; -0.172912154195; -0.192719335797; -0.0126628542336; 0.0780145000342; -0.0344753649133; -0.245835795789; -0.128817091998; -0.141311732178; 0.964063966628; -0.239177722818; -0.176747480676; 0.0867728025644; 0.00689988376523; -0.193109567878; 0.0258364007168; -0.0893089320734; -0.221875730647; -0.0659280352632; -0.183501610987; 0; -0.161022993679; -0.10969683843; -0.139935890884; 0.03914030811; 0.0218995608543; 0.845798227201; -0.121311924082; -0.0417460348273; -0.195300859822; -0.157823906061; 
991018_001231; 0.246494601613; 1.85001862269; 0.201336403883; 0.0316047322624; 0.355260399747; -0.528777737124; 0.347300480204; 0.209388117699; -0.0297751805676; 0.494624565929; 0.189091156723; -0.00575509126607; -0.00542470374182; 0.126919542344; 0.042219264433; 0.583660315425; 0.135936140111; 0.837473424119; 0.361212794396; 0.699501189223; -0.821224537119; 0.0596416840983; 0.306010900969; 0.277243986795; 0.521290789344; 0.547948383664; -0.0874883498064; 0.311077619366; 0.2938716752; 0.103625348264; -0.0149555075614; 0.416788000471; 1.3214162913; -0.378508850811; -0.0121548645867; 0.387434064006; -0.0770699526326; -0.0816097004267; 0.611703393384; 0.507476332438; 0.0791351149671; 0.243450295634; 0.237940406471; -0.314103136455; -0.125821263578; -0.163358297672; 0.00633233076101; 1.78196083661; 0.093137093766; 0.217769368088; 0.328620242996; 0.181856057147; 0.34021188246; 0.0348024499189; 0.742599498006; 0.263178329958; 0.33705435091; -0.021309729598; 0.0946502294468; 0.166941553786; 0.294570501675; 0.0345916904085; -0.0365343316167; 0.640259534635; 0.361329660775; 0.311565703269; 0.212619744171; 0.592882413076; 0.323905933197; 
000306_001231; -0.467796540781; -0.188965729065; -0.389464243307; 0.0666227257188; 0.483642098442; -0.716091294584; -0.393611560525; 0.275317246834; 0.0910571232665; 0.320678420688; 0.256378827723; -0.254924909376; -0.250675711737; 0.327858627318; 0.333579115047; 0.146571135848; 0.211975893393; 0.0570745028205; 0.612607350251; 0.903474546585; -0.790374705777; 0.227017923718; 0.713844681504; 0.00499367600408; 0.625611075515; -0.245613583584; 0.0810785856489; -0.0461935982953; 0.304137108383; 0.18981804178; 0.372346340971; 0.34989611923; 1.2063965726; -0.653816523098; 0.104568359323; 0.280124956175; -0.0337444680014; -0.161089789982; 0.394415596817; 0.814890757538; 0.0475737651788; 0.139636122108; 0.191811079108; -0.141467818613; 0.0877078678388; -0.103491365115; 0.195374732727; 0.0337467114495; 0.265809728462; 0.521871999645; 0.197857756277; 0.170192619142; 0.4477091239; 0.015348043262; 0.879629651581; 0.596596732677; 0.361726350575; 0.0337904067178; 0.0946502294468; 0.390257448449; 0.363436807982; 0.180106290975; -0.110609018008; 0.515426344258; -0.424974259552; 0.552828455161; 0.121920918906; 1.3610293038; 0.659994050585; 
161118_170430; 0.182966879699; 0.174119990582; 0.166846210709; 0.0919028807945; 0.112168872676; 0.158751308434; 0.155005888127; 0.0185302781432; -0.0388121695865; 0.157076728762; 0.214565206846; 0.186661554206; 0.0529631754126; 0.181187377947; 0.0277872190192; -0.00361997602826; 0.156945183694; 0.15928631256; 0.174464411991; 0.169286012702; 0.185164233547; 0.141658130109; 0.0206813128479; 0.179688152647; 0.185194140297; 0.227869049018; 0.0600853330425; 0.0987811183713; 0.0297562213645; 0.190383523199; 0.202394100974; 0.17972521913; 0.175152516412; 0.288174436587; 0.165130725143; 0.204594090361; 0.242710709558; 0.0380979350889; 0.160496956926; 0.205844636801; 0.317638060369; 0.235012482046; 0.384488807322; 0.223126586538; 0.123201453641; 0.0931003028607; 0.227953524577; 0.208549778412; 0.257294253621; 0.0863462795676; 0.0806961487218; 0.167075375357; 0.130495752632; 0.256625680886; 0.107328549902; 0.118968442283; 0.0687469027949; 0.0507892978399; 0.0628293762792; 0.153746326535; 0.100216071764; 0.0216493247967; 0.0898999314511; 0.160717405151; 0.0780948763043; 0.0640899221604; 0.0918845672746; 0.158194062073; 0.0675304336227; 
161201_170430; 0.192690081603; 0.131793298131; 0.20375413625; 0.0633607501832; 0.134844021134; 0.234988942217; 0.170302947435; -0.0220964228368; -0.148359671131; 0.22601783704; 0.149158302674; 0.129603980204; 0.0739996304774; 0.111185608625; 0.101062611094; -0.120356458523; 0.0962408914391; 0.217499373182; 0.0390389280725; 0.0748044897932; 0.236718347904; 0.0782730098619; 0.0146270411905; 0.0602292227665; 0.0989180173088; 0.175006433732; 0.00575925865559; 0.120683686912; 0.137730809826; 0.13054425241; 0.291905187276; 0.173794955305; 0.0939525312702; 0.29701132143; 0.0752064897228; 0.00787795472122; 0.161624321705; 0.0279834659747; 0.162444291225; 0.0998618562721; 0.264983113653; 0.0465157036474; 0.2108133294; 0.140795188284; 0.0828666534884; 0.0234509447715; 0.100015398733; 0.239029590945; 0.116204834758; 0.110525046359; 0.106722653189; 0.172421597334; 0.0187742353906; 0.104412629285; 0.164350243344; 0.0323009404031; 0.0052389094615; 0.116508675531; 0.184511314946; 0.1353464027; 0.0736896741553; -0.0327605077633; 0.0651251794721; 0.0880924557573; 0.111279997205; 0.140642584545; 0.0521920963905; 0.233854742476; 0.120732993085; 
