; Automobiles; Wireless Telecommunication Services; Diversified Telecommunication Services; Tobacco; Banks; Insurance; Electronic Equipment, Instruments & Components; Household Durables; Technology Hardware, Storage & Peripherals; Food & Staples Retailing; Machinery; Specialty Retail; Pharmaceuticals; Trading Companies & Distributors; Road & Rail; Auto Components; Software; Chemicals; Electrical Equipment; Building Products; Real Estate Management & Development; Personal Products; Internet Software & Services; Professional Services; Hotels, Restaurants & Leisure; Diversified Financial Services; Metals & Mining; Capital Markets; Beverages; Commercial Services & Supplies; Health Care Equipment & Supplies; Leisure Products; Internet & Direct Marketing Retail; Semiconductors & Semiconductor Equipment; Food Products; Industrial Conglomerates; IT Services; Media; Household Products; Oil, Gas & Consumable Fuels; Electric Utilities; Airlines; Gas Utilities; Health Care Technology; Air Freight & Logistics; Construction & Engineering; Equity Real Estate Investment Trusts (REITs); Consumer Finance; Multiline Retail; NULL; Health Care Providers & Services; Paper & Forest Products; Textiles, Apparel & Luxury Goods; Containers & Packaging; Independent Power and Renewable Electricity Producers; Construction Materials; Transportation Infrastructure; Marine; Diversified Consumer Services; Biotechnology; Distributors; Communications Equipment; Energy Equipment & Services; Life Sciences Tools & Services; Aerospace & Defense; Thrifts & Mortgage Finance; 
991018_000401; 0.199869303171; 0.851137219623; 0.182982200289; -0.362652385593; -0.0723575615293; 0; 0.576399837908; 0.410547123811; 0.43516507342; -0.162347990051; 0.0237116445755; 0.554729269924; 0.258402237699; 0.238997034113; -0.0537850403677; -0.0343856348681; 0.701676180555; 0.0644074446501; 0.365645710789; 0.154427409834; 0.0144568181041; 0.0109501328188; 2.09305705101; -0.0814882518061; 0.078867325979; 0.389144972683; -0.0385879538665; 0.983439151603; -0.113104050112; -0.0139504305045; 0.212174715615; -0.131352575261; -0.112548331015; 0.715331824435; -0.0725722306354; 0.303378463763; 0.400316142126; 0.577374432859; 0.0846278930006; -0.223027088363; -0.109507978879; -0.143678611891; -0.154363095259; 0; 0.0331457495893; -0.211786281653; 0; -0.12445023844; -0.047166883926; -0.139582137154; -0.143350342411; -0.0774057111983; -0.11970695139; -0.118452763877; 0; 0.0130643627635; -0.200737231926; -0.0111414548473; 0.0827978262535; 0; -0.104850033539; 0.0870120126704; -0.0676646767276; 3.84039565487; -0.316768467706; 0; 
991018_991119; 0.0353415547451; 0.541579243865; 0.304347831405; -0.162069079813; 0.0871431961843; 0; 0.219794217007; 0.124252418382; 0.155646423095; 0.0617119643702; 0.0290703335772; 0.487888146192; 0.000435304292227; 0.146232510387; -0.0231290674659; -0.00430067656903; 0.337754589208; -0.00116815704567; 0.0205534222081; -0.0315058336438; -0.0304802645697; 0.118252950607; 0.867150840757; 0.00352113847779; 0.0658522563136; 0.309070123148; -0.0928692563987; 0.129745695338; -0.0906679445056; 0.10843130498; 0.0861330808737; -0.0148866323456; 0.174231002729; 0.343549951118; -0.0307149495606; -0.0479673046826; 0.454631884125; 0.274692311544; 0.104930990259; -0.0708636947395; 0.067898815429; -0.0632185892259; -0.0497238020056; 0; 0.189996775668; -0.0729860765358; 0; -0.0328204068573; 0.0886980011074; -0.0125966572129; 0.0236474441061; -0.0443364404145; -0.0399423999978; -0.0640585996433; 0; -0.190782018372; -0.0836243206891; -0.0245386071061; -0.0572786697696; 0; -0.0429330231708; 0.181717215117; 0.0630316918493; 0.461109808463; -0.138258422744; 0; 
991018_000306; 0.0289384836242; 1.10278216687; 0.0797101462994; -0.383620960282; -0.0895457144775; 0; 0.47545827062; 0.437470927409; 0.374260035874; -0.189816119636; -0.0279030588556; 0.337791236922; 0.157490900387; 0.230749836019; -0.0926358635277; -0.0924964384778; 0.860023787423; 0.00968522656011; 0.319288136749; 0.0361329890882; -0.0671506084736; -0.0638016488687; 1.54404594413; -0.158615304318; 0.0829671471084; 0.351312027937; -0.106718232622; 0.819510244809; -0.120317993799; -0.0597319476107; 0.12998377374; -0.162858838777; -0.0458257411497; 0.703537263076; -0.128470819831; 0.13467495412; 0.466025955824; 0.734370325166; 0.112497334413; -0.254583989955; -0.11329909012; -0.318966518399; -0.226473048032; 0; -0.0363544419146; -0.282842150341; 0; -0.136257559428; -0.159609492474; -0.229329326047; -0.075045040234; -0.267134408411; -0.147278376248; -0.171006612811; 0; 0.0489274883114; -0.282023732651; -0.135762047508; 0.0356440814696; 0; -0.127526677381; 0.129602270451; -0.221561441307; 4.55554268558; -0.244872301249; 0; 
991119_000306; -0.0136160223038; 0.334302212358; -0.172222225202; -0.264403478694; -0.158962177091; 0; 0.199953763102; 0.273154229805; 0.188598117572; -0.232546194538; -0.0640231001757; -0.129415600808; 0.15130809539; 0.065863520198; -0.0676680401322; -0.0879753871467; 0.325024621537; 0.00875959476374; 0.274448802242; 0.05735648791; -0.0365097246666; -0.154223503357; 0.35935671769; -0.149703205748; 0.0264875979219; 0.0293587078928; -0.00219309323803; 0.620833825754; -0.0361125890251; -0.149204183861; 0.0306478132979; -0.14127549154; -0.191126699366; 0.256671762086; -0.0965056902121; 0.193296175705; 0.054893277862; 0.341884224198; 0.0016046261889; -0.196771903856; -0.167297950784; -0.273006991938; -0.190612855977; 0; -0.188340112379; -0.228955484174; 0; -0.0928078614858; -0.220089502274; -0.22576538741; -0.0939252401721; -0.233313059795; -0.112120343412; -0.127103335363; 0; 0.328099891611; -0.205155285651; -0.114960319843; 0.0581002048734; 0; -0.090302638839; -0.0443169667963; -0.263830204529; 2.80227345257; -0.123145983971; 0; 
991018_001231; -0.0117579677472; -0.366805578521; -0.401381406896; -0.228524357587; -0.0738982778395; 0; 0.181550662986; 0.0721186252511; 0.374378566309; -0.158795439595; -0.0625142378135; 0.304858117763; 0.422648940692; 0.0659261807207; 0.108316644629; -0.0285782935489; 0.175337089651; 0.0228593706442; 0.0599909929409; 0.318671796598; 0.16209066387; 0.042591326764; -0.370190299937; -0.223573793233; -0.190996163891; 0.0646949613137; 0.031547885901; 0.167993586059; -0.176497916956; -0.111596134409; 0.139447873742; -0.148517989981; -0.676642842551; -0.177982225476; 0.0352650035133; 0.0112519232693; -0.307803947014; -0.150908984979; -0.0648396801588; -0.100332177338; 0.110200212229; 0.120690033932; 0.182254619793; 0; -0.245360462404; -0.0533848868443; 0; -0.211486245977; -0.287880172962; -0.14843172698; -0.158635804753; -0.0993724340121; -0.155571701962; -0.250907052605; 0; 0.041010829958; -0.149400656842; 0.00752880218215; -0.472516735499; 0; -0.21088386485; -0.303402165054; -0.310766971206; 0.619032390631; -0.291427206977; 0; 
000306_001231; -0.00125635099141; -0.623400723325; -0.445574727167; 0.251625257381; 0.0335605841317; 0; -0.140360118631; -0.197593742462; -0.000150807224879; 0.0355134515501; 0.0351236611317; -0.0231501234615; 0.268612216821; -0.0931307870436; 0.225316387309; 0.0701679953596; -0.303790799307; 0.0627638706836; -0.20945418993; 0.24840357425; 0.246257731846; 0.10489038102; -0.736076510547; -0.0874145759024; -0.211109387057; -0.212179566368; 0.137851387561; -0.352071861444; -0.0183270344258; -0.0514385106778; 0.00836452058371; 0.0262625501137; -0.677905989428; -0.478896179237; 0.19000812288; -0.10139922589; -0.492367738419; -0.454375689404; -0.150998752167; 0.223434434804; 0.254249904854; 0.645571646575; 0.543340026284; 0; -0.213663957705; 0.302906818228; 0; -0.0713910436787; -0.113833050441; 0.127086375958; -0.056225126083; 0.224104260176; -0.0107933344776; -0.0894840420711; 0; 0.0402280902355; 0.196483344624; 0.160437168522; -0.48759793618; 0; -0.0908857700445; -0.377640402548; -0.115864009161; -0.708571853182; -0.061664788052; 0; 
161118_170430; 0.0626756423869; 0.134571139375; 0.0592093785656; -0.0461251673938; 0.186804473028; 0.174687973921; 0.190597589923; 0.311643796819; 0.163964748614; 0.0745469855573; 0.210158299315; 0.0861222153661; 0.0999770324268; 0.161248250636; 0.0974863551148; 0.16109921947; 0.157955252372; 0.204655563014; 0.091950224209; 0.137413293021; 0.0773809211646; 0.198145478142; 0.197767278238; 0.323578464345; 0.0722823811448; 0.0915140994812; 0.162923057421; 0.209720464803; 0.139034665959; 0.102326239534; 0.120779004709; 0.0126587083155; 0.114150989199; 0.401864645098; 0.0860089153174; -0.106316008866; 0.138464953948; 0.151151871239; 0.146657515646; 0.228300223585; 0.189617998121; 0.151592703094; 0.0138149575386; -0.0217160088564; 0.0857563756775; 0.10258999597; -0.000595500943456; 0.0925880972814; 0.130923164396; 0; 0.136993483583; 0.202307130907; 0.117643663383; 0.0458277162062; 0.139056982591; 0.241431595531; 0.0614594942544; 0.264581848677; 0.245761496543; 0.206349652882; 0.248474935267; 0.128492917648; 0.242796864682; 0.0338374779391; 0.313189706803; 0.0676533904811; 
161201_170430; -0.0443356462136; 0.0879282606366; 0.0346239667034; -0.0432199627147; 0.00456727986358; 0.00270710920698; 0.0890527902317; 0.207054271408; 0.0665975455579; 0.0450452359276; 0.0912197037156; 0.0246574540929; 0.0655242668663; 0.0471783072791; 0.0214147004639; 0.0554034125461; 0.10514665171; 0.125297658033; 0.0274963444837; 0.0773764716602; -0.0319015204744; 0.15341567769; 0.172565789848; 0.242892355507; 0.0255977248606; 3.95174497157e-05; 0.026459702932; 0.0219792954477; 0.110054112017; 0.0428122716069; 0.0794055912409; -0.0324532064434; 0.139962734067; 0.264871585548; 0.0959164692513; -0.191248037106; 0.0730713717308; 0.107076200987; 0.135895230785; 0.0424656541939; 0.103816164117; 0.098084321907; -0.00829719273798; 0.0253409621375; 0.0414079210327; 0.0167912973645; -0.0145466372324; -0.0247260523105; 0.0561650500424; 0; 0.0765377734468; 0.125598040903; 0.0285754730753; -0.0134537699131; 0.0610002718408; 0.104106697578; -0.0318917207967; 0.101979896442; 0.187463788017; 0.123954031885; 0.217813350227; 0.0716984341059; 0.120091659516; 0.0104074839355; 0.0884110018548; 0.00414973497405; 
