; Oil, Gas & Consumable Fuels; Banks; Household Products; Food Products; IT Services; Pharmaceuticals; Beverages; Tobacco; Software; Industrial Conglomerates; NULL; Aerospace & Defense; Chemicals; Diversified Telecommunication Services; Automobiles; Wireless Telecommunication Services; Insurance; Consumer Finance; Machinery; Metals & Mining; Capital Markets; Health Care Providers & Services; Household Durables; Technology Hardware, Storage & Peripherals; Air Freight & Logistics; Auto Components; Textiles, Apparel & Luxury Goods; Electrical Equipment; Electronic Equipment, Instruments & Components; Trading Companies & Distributors; Personal Products; Multi-Utilities; Semiconductors & Semiconductor Equipment; Construction Materials; Airlines; Communications Equipment; Real Estate Management & Development; Biotechnology; Health Care Equipment & Supplies; Food & Staples Retailing; Media; Internet & Direct Marketing Retail; Electric Utilities; Multiline Retail; Construction & Engineering; Internet Software & Services; Water Utilities; Hotels, Restaurants & Leisure; Containers & Packaging; Specialty Retail; Transportation Infrastructure; Independent Power and Renewable Electricity Producers; Equity Real Estate Investment Trusts (REITs); Road & Rail; Marine; Paper & Forest Products; Diversified Financial Services; Life Sciences Tools & Services; Health Care Technology; Thrifts & Mortgage Finance; Commercial Services & Supplies; Energy Equipment & Services; Professional Services; Distributors; Building Products; Diversified Consumer Services; Leisure Products; Gas Utilities; 
991018_000401; 0.197817140033; 0.243998435933; -0.166005462904; 0.0887981599457; 0.294749506322; 0.0526365921922; -0.0340410112755; -0.229772396939; 0.966818788312; 0.621777412714; 0.18115804548; 0.391893993726; 0.0922282806333; 0.669916131188; -0.00120589980943; 0.379374910236; 0.19736176575; 0.0467147026442; -0.0060639518543; 0.225781594363; 0.268244375027; 0.2931662189; 0.790238026026; 0.938756850717; 0.00704133975269; -0.0650171192494; 0.379149492474; 0.410285145186; 0.701286567717; 0.266451495196; -0.0857262102267; 0.314744877706; 1.29151794938; -0.147755041979; 0.318940020572; 1.68183314535; 0.370029549658; 0.88633040841; 0.316300973883; -0.0204529912723; 1.0950634983; 0.886856898854; 0.0962176201576; -0.173167708954; 0.0929268720647; 2.70242299169; -0.139600000789; 0.120934694993; -0.0387887072176; 0.0691250641369; 0.0742180742949; 0.0594437655112; -0.00253393710385; -0.0108004891481; 0.252982081127; -0.0331968621035; 0.392215548272; 1.41796286737; 0.944349005494; -0.226444227897; 0.13232672817; 0.578993855794; 0.338325809041; -0.0624362631171; 0.163624797955; -0.0448934498026; 0.372358131548; 0.0682838085004; 
991018_991119; 0.244876692184; 0.19986277369; 0.168670642531; -0.0129694189948; 0.0168552671938; 0.05083914754; -0.028990521052; -0.154877763965; 0.0876086293695; 0.262875024952; 0.146280930583; 0.0526881078795; 0.0892027132731; 0.21852478331; 0.020955507478; 0.0158189511567; 0.105924368794; 0.00836986898048; 0.0100445273422; 0.172432157676; 0.143530130838; 0.135051449545; 0.217959098636; 0.234435812379; 0.0788388197526; 0.0136682095285; 0.127882642656; 0.0677894229028; 0.193625209919; 0.146678687497; -0.0733608385338; 0.0177281527281; 0.482383154482; 0.0439045892607; 0.0778844677615; 0.528190861157; 0.169405892016; 0.081536780006; 0.0498403024547; 0.0661351582612; 0.191703337059; 0.0880905815061; 0.0197705593206; -0.163135967618; 0.0340245275172; 0.0427816192849; -0.0746624926394; 0.0303985885632; 0.0317839773162; 0.132432601393; 0.0498664615214; 0.0330764564027; 0.0107747217788; 0.146886757083; 0.091960808168; 0.0512115409231; 0.0531534826504; 0.110222391496; 0.26411348017; 0.0367615974745; 0.0744082783257; 0.206112966769; 0.0558636729455; -0.00743245746026; 0.0517782887668; -0.0112275464975; 0.099563865114; 0.178646199723; 
991018_000306; 0.0844062653461; 0.22665936629; 0.0169344182132; 0.0316577794061; 0.322135081411; -0.00630081564145; -0.0648452786336; -0.320057943241; 1.62405596217; 0.583773784352; 0.0942036353085; 0.364860661672; 0.0483482482595; 0.893548519301; -0.0662896732876; 0.610008314528; 0.0767828107567; 0.074565413879; -0.0454462431283; 0.186357222356; 0.241348846487; 0.106975374835; 0.758362142377; 0.686752555687; 0.0893897863197; -0.107063108431; 0.233534714143; 0.345760684283; 0.674290169472; 0.273960220075; -0.151632154161; 0.320743716559; 1.96624504462; -0.175536140138; 0.363979203751; 2.03922163708; 0.604107094744; 1.1262819991; 0.312579717051; -0.0919387432751; 1.49711732384; 1.19616812202; 0.0757106100718; -0.172760795001; 0.134089655692; 3.8374377802; -0.156291433244; 0.125632887251; -0.0131731207875; 0.294942215199; 0.170448538228; 0.0595959205657; -0.0233595638225; -0.0873251547263; 0.164160416687; -0.102752246825; 0.396450888203; 1.79725446769; 1.31661643659; -0.0926011929899; 0.197648994003; 0.594211797662; 0.410241096031; -0.0456390618576; 0.162179375554; -0.096167624425; 0.408021238893; 0.161180396347; 
991119_000306; -0.0634372418596; 0.0297841242989; -0.131245304112; 0.0472931090414; 0.24752694898; -0.061390811531; -0.0451414953072; -0.196905098862; 1.40912640818; 0.246675322493; -0.0406908165986; 0.270992618039; -0.0399853900739; 0.518300257583; -0.0996752929459; 0.556730776507; -0.0265167794669; 0.0639979103136; -0.0596030229454; 0.0181519241813; 0.0846231087339; -0.0223270901363; 0.430525119561; 0.363889882755; 0.0121035446345; -0.12587429255; 0.0906179882471; 0.233088465797; 0.455829996144; 0.0993288654923; -0.0891330124369; 0.290311598386; 1.00892618785; -0.207155279533; 0.20328929167; 0.977877637818; 0.241060852406; 0.966500538493; 0.240549435597; -0.137549031501; 1.14803846769; 1.07632076633; 0.0563683513203; -0.0185916280052; 0.065298072294; 3.78584553256; -0.094868414605; 0.037457129465; -0.0485252609631; 0.123023516731; 0.121968299779; 0.0264918980585; -0.0342794701217; -0.201045514992; 0.0682278706492; -0.14145291151; 0.400025779021; 1.54932890926; 0.84646906082; -0.12364111047; 0.110386677871; 0.312696987873; 0.324258840002; -0.0383222135599; 0.0917648408679; -0.0920838525319; 0.280664619122; -0.0109389592787; 
991018_001231; 0.307841641098; 0.473769112356; 0.0476093254308; 0.530834543275; -0.0480648071555; 0.403705644832; 0.208043394193; 0.514422686025; 0.233127544138; 0.213460148403; 0.299222891558; 0.469736032402; 0.328789921692; 0.0315964914045; -0.0354341585011; -0.137441809482; 0.408064571612; 0.134924690831; -0.0130576592735; 0.156685836092; 0.430149598847; 0.518900871192; 0.283474293144; -0.199164554893; 0.13122884325; -0.0986708535182; 0.308921597401; 0.528904912794; 0.348048720655; 103.338752277; 0.256394453591; 0.359756737543; 0.424625554818; -0.210933291621; 0.200600954016; 0.983414234944; 0.130726016433; 0.608243886963; 0.826853030091; 0.145126680178; 0.476585524462; 0.363875520954; 0.096713222235; -0.127772260603; 0.211419655817; -0.422837162765; 0.0295676663677; 0.053870539829; 0.0748951812051; -0.076025220904; 0.0755427937641; 0.164154178231; 0.160070044981; 0.150518761965; 0.325965059884; 0.0725107608795; 0.291528182828; 1.8612613907; -0.239258536939; 0.226228536834; 0.253992110072; 0.720588769046; 0.546351694676; -0.0336427776318; 0.266944732884; 0.056793901496; 0.615731209342; 0.0170156359009; 
000306_001231; 0.226554869642; 0.268540521851; 0.0578654688103; 0.466568252997; -0.203364625055; 0.399245645333; 0.308376864997; 1.26491581722; -0.499770061222; -0.225482007453; 0.20169450877; 0.280540438081; 0.275531750224; -0.356479577458; 0.0541636151159; -0.242919853952; 0.329153320679; 0.0806924916476; 0.0528683114578; 0.00762165015987; 0.214157460052; 0.385988445113; -0.193628451556; -0.508090978397; 0.08760071059; 0.0186273133983; 0.0815502693067; 0.133063416222; -0.0923828890473; 103.185152544; 0.490316059975; 0.184191460266; -0.342198868528; -0.0879572949671; 0.0432746208703; -0.289542060087; 0.0336750769929; 0.0264492143839; 0.393781969396; 0.271102788977; -0.328635759673; -0.328885575389; 0.0481912736893; 0.0845278327679; 0.118673842759; -0.808150587219; 0.290569220954; 0.00420067347932; 0.112721725378; -0.178675988019; -0.0613042859256; 0.173386766648; 0.203214608561; 0.238579450895; 0.133504891982; 0.212635328117; 0.456733076603; 0.213925003069; -0.507054329969; 0.371108528817; 0.0915431163217; 0.114475128877; 0.159483961834; 0.020746163761; 0.0804507671207; 0.0052564736434; 0.0587628338923; -0.121526833008; 
161118_170430; 0.0722503614252; 0.208942761387; 0.0926728911307; 0.0969769157562; 0.230944867984; 0.15456650272; 0.0743655796878; 0.156005495265; 0.198792167615; 0.284225142146; 0.982568497157; 0.293815121783; 0.184532122436; 0.0966051391939; 0.159172038104; 0.058616707269; 0.180767706035; 0.144893547639; 0.325554970032; 0.121652952915; 0.224226539364; 0.120859466088; 0.250074542799; 0.361231933696; 0.134949446189; 0.24151579824; 0.3205687523; 0.246039571744; 0.260674762068; 0.23650268636; 0.210480527504; 0.0523508807962; 0.223855031212; 0.111921017215; 0.303759457543; 0.27683596225; 0.137816791894; 0.373140833676; 0.219832075413; 0.027941065743; 0.196359205152; 0.129303745291; 0.0899718317221; 0.114562410864; 0.250110120962; 0.177836933768; 0.068326764337; 0.195982230846; 0.104743894056; 0.0927304694839; 0.236238610544; 0.0987332334666; 0.0972274561657; 0.173872870954; 0.260297120191; 0.270715445758; 0.205506397159; 0.235751618531; 0.17804815785; 0.316030095194; 0.147682180898; 0.211017695166; 0.183448061998; 0.215576595795; 0.214925094571; 0.0888967152375; 0.356259379726; 0.156077853352; 
161201_170430; 0.0161916532268; 0.184693400465; 0.157701264128; 0.145192879426; 0.243669849026; 0.178224857427; 0.152619578994; 0.226409429077; 0.200416982248; 0.263565391134; 0.495880209913; 0.203555141571; 0.160418040771; 0.125157790145; 0.155878490633; 0.110918104059; 0.126837603265; 0.131333937568; 0.262823975216; 0.0391244222109; 0.151632895363; 0.132872168441; 0.251912967273; 0.323843144146; 0.12599027354; 0.225691512824; 0.297523296969; 0.228368760088; 0.265746485162; 0.17321424146; 0.280102467512; 0.148401446346; 0.20316789155; 0.116712913254; 0.297838578045; 0.254288912193; 0.16062010628; 0.199190724488; 0.247944493083; 0.0536462703908; 0.220556952706; 0.172863830142; 0.109490050777; 0.135866764898; 0.241000240403; 0.146882289542; 0.112371534425; 0.200046606145; 0.0802284758877; 0.0812060714736; 0.256699493764; 0.132293653293; 0.132395106842; 0.164087508282; 0.222841055744; 0.222648928816; 0.20552633393; 0.217530245526; 0.190774880564; 0.220952211019; 0.151654084092; 0.0643719256732; 0.197520767359; 0.237088139972; 0.190519425922; 0.0793196870815; 0.323404002767; 0.247867402297; 
