000559.SZ, Updated at 2016-09-30
000766.SZ, Updated at 2016-09-30
000861.SZ, Updated at 2016-09-30
000988.SZ, Updated at 2016-09-30
002085.SZ, Updated at 2016-09-30
002201.SZ, Updated at 2016-09-30
002225.SZ, Updated at 2016-09-30
002271.SZ, Updated at 2016-09-30
002403.SZ, Updated at 2016-09-30
002475.SZ, Updated at 2016-09-30
002714.SZ, Updated at 2016-09-30
002766.SZ, Updated at 2016-09-30
002783.SZ, Updated at 2016-09-30
002786.SZ, Updated at 2016-09-30
003620.KS, Updated at 2016-09-30
010050.KS, Updated at 2016-09-30
217600.KQ, Updated at 2016-09-30
2772.T, Updated at 2016-09-20
300011.SZ, Updated at 2016-09-30
300045.SZ, Updated at 2016-09-30
300069.SZ, Updated at 2016-09-30
300074.SZ, Updated at 2016-09-30
300122.SZ, Updated at 2016-09-30
300203.SZ, Updated at 2016-09-30
300218.SZ, Updated at 2016-09-30
300256.SZ, Updated at 2016-09-30
300274.SZ, Updated at 2016-09-30
300342.SZ, Updated at 2016-09-30
300463.SZ, Updated at 2016-09-30
600077.SS, Updated at 2016-09-30
600114.SS, Updated at 2016-09-30
600499.SS, Updated at 2016-09-30
600674.SS, Updated at 2016-09-30
600785.SS, Updated at 2016-09-30
600873.SS, Updated at 2016-09-30
601168.SS, Updated at 2016-09-30
603889.SS, Updated at 2016-09-30
900953.SS, Updated at 2016-09-30
AABQ.QA, Updated at 2016-09-30
AAO.V, Updated at 2016-09-30
AC.MX, Updated at 2016-09-30
ACCP.PA, Updated at 2016-09-30
ADTN.O, Updated at 2016-09-30
ALESK.PA, Updated at 2016-09-30
ALOCT.PA, Updated at 2016-09-30
ARC.V, Updated at 2016-05-31
ART.V, Updated at 2016-07-31
ASC.OL, Updated at 2016-09-30
ASR, Updated at 2016-09-30
ASURB.MX, Updated at 2016-09-30
ATEA.OL, Updated at 2016-09-30
BABY.O, Updated at 2016-09-30
BAS1V.HE, Updated at 2016-09-30
BDN, Updated at 2016-09-30
BEIJb.ST, Updated at 2016-09-30
BEX.V, Updated at 2016-06-30
BKMU.O, Updated at 2016-09-30
BMAX.ST, Updated at 2016-09-30
BOLSAA.MX, Updated at 2016-09-30
CACT.SI, Updated at 2016-09-30
CARR.PA, Updated at 2016-09-30
CATGR.PA, Updated at 2016-05-31
CAV.LM, Updated at 2016-09-30
CBTTb.ST, Updated at 2016-09-30
CHU.LM, Updated at 2016-09-30
CIMBT.BK, Updated at 2016-09-30
CIMBTn.BK, Updated at 2016-09-30
CJRi.LM, Updated at 2016-09-30
CNFH.NS, Updated at 2016-09-30
CREE.O, Updated at 2016-09-25
CTBI.O, Updated at 2016-09-30
CTO, Updated at 2016-09-30
CVBF.O, Updated at 2016-09-30
CVLY.O, Updated at 2016-09-30
CWN.V, Updated at 2016-06-30
DICO.QA, Updated at 2016-09-30
DMCp.V, Updated at 2016-07-31
DOCD.AS, Updated at 2016-09-30
DOV, Updated at 2016-09-30
DSOM.KL, Updated at 2016-09-30
EBAY.O, Updated at 2016-09-30
EBAY34.SA, Updated at 2016-09-30
EGZ.TO, Updated at 2016-06-30
ELISA.HE, Updated at 2016-09-30
ELWA.CA, Updated at 2016-06-30
EQFN.O, Updated at 2016-06-30
ETF.V, Updated at 2016-08-31
FCCO.O, Updated at 2016-09-30
FIHO12.MX, Updated at 2016-09-30
FULT.O, Updated at 2016-09-30
GETP.PA, Updated at 2016-09-30
GFED.O, Updated at 2016-09-30
GGG, Updated at 2016-09-23
GPC, Updated at 2016-09-30
GSBC.O, Updated at 2016-09-30
HA.O, Updated at 2016-09-30
HAL, Updated at 2016-09-30
HALI34.SA, Updated at 2016-09-30
HAVb.ST, Updated at 2016-09-30
HBHC.O, Updated at 2016-09-30
HIQ.ST, Updated at 2016-09-30
HXL, Updated at 2016-09-30
