000591.SZ, Updated at 2016-09-30
000825.SZ, Updated at 2016-09-30
000909.SZ, Updated at 2016-09-30
000926.SZ, Updated at 2016-09-30
000952.SZ, Updated at 2016-09-30
002050.SZ, Updated at 2016-09-30
002116.SZ, Updated at 2016-09-30
002458.SZ, Updated at 2016-09-30
002462.SZ, Updated at 2016-09-30
002515.SZ, Updated at 2016-09-30
002686.SZ, Updated at 2016-09-30
002793.SZ, Updated at 2016-09-30
004440.KS, Updated at 2016-09-30
036490.KQ, Updated at 2016-09-30
039840.KQ, Updated at 2016-09-30
049830.KQ, Updated at 2016-09-30
051910.KS, Updated at 2016-09-30
300072.SZ, Updated at 2016-09-30
300281.SZ, Updated at 2016-09-30
300308.SZ, Updated at 2016-09-30
300339.SZ, Updated at 2016-09-30
300491.SZ, Updated at 2016-09-30
3543.T, Updated at 2016-08-31
600143.SS, Updated at 2016-09-30
600178.SS, Updated at 2016-09-30
600298.SS, Updated at 2016-09-30
600539.SS, Updated at 2016-09-30
600801.SS, Updated at 2016-09-30
601116.SS, Updated at 2016-09-30
603601.SS, Updated at 2016-09-30
603898.SS, Updated at 2016-09-30
603899.SS, Updated at 2016-09-30
603969.SS, Updated at 2016-09-30
900933.SS, Updated at 2016-09-30
ABCB.O, Updated at 2016-09-30
AKE.CD, Updated at 2016-08-31
ALFAA.MX, Updated at 2016-09-30
ALLHB.PA, Updated at 2016-09-30
ALNBT.PA, Updated at 2016-06-30
ALPEKA.MX, Updated at 2016-09-30
ANCB.O, Updated at 2016-09-30
ANCX.O, Updated at 2016-09-30
ARNA.JK, Updated at 2016-09-30
ARTI.JK, Updated at 2016-06-30
ASRV.O, Updated at 2016-09-30
AVANZ.ST, Updated at 2016-09-30
AXC.CD, Updated at 2016-08-31
AXTELCPO.MX, Updated at 2016-09-30
BKSC.O, Updated at 2016-09-30
BLAK34.SA, Updated at 2016-09-30
BLK, Updated at 2016-09-30
BMI, Updated at 2016-09-30
BOBI.SCT, Updated at 2016-06-30
BVI.PA, Updated at 2016-09-30
CE, Updated at 2016-09-30
CMA, Updated at 2016-09-30
CMV.V, Updated at 2016-08-31
COMH.ST, Updated at 2016-09-30
CPSS.O, Updated at 2016-09-30
CYIE.NS, Updated at 2016-09-30
DANO.PA, Updated at 2016-09-30
DCBA.NS, Updated at 2016-09-30
DIAH.ST, Updated at 2016-09-30
DINEA.MX, Updated at 2016-09-30
DINEB.MX, Updated at 2016-09-30
DPZ, Updated at 2016-09-11
DUTY.SI, Updated at 2016-08-31
ECEI.NS, Updated at 2016-03-31
EGID.PA, Updated at 2016-09-30
ELS, Updated at 2016-09-30
ELS_pc, Updated at 2016-09-30
ENAG.MC, Updated at 2016-09-30
ENBD.DU, Updated at 2016-09-30
EQFN.O, Updated at 2015-12-31
ESGI.CA, Updated at 2016-09-30
ESS.V, Updated at 2016-05-31
FDEF.O, Updated at 2016-09-30
FEU.PS, Updated at 2016-08-31
FMBI.O, Updated at 2016-09-30
GETIb.ST, Updated at 2016-09-30
