002415.SZ, Updated at 2016-09-30
194370.KS, Updated at 2016-09-30
2164.T, Updated at 2016-08-31
2186.T, Updated at 2016-08-31
2294.T, Updated at 2016-08-31
2303.T, Updated at 2016-08-31
2341.T, Updated at 2016-08-31
2462.T, Updated at 2016-08-31
2686.T, Updated at 2016-08-31
2726.T, Updated at 2016-08-31
300221.SZ, Updated at 2016-09-30
300446.SZ, Updated at 2016-09-30
3080.T, Updated at 2016-08-31
3228.T, Updated at 2016-08-31
3236.T, Updated at 2016-08-31
3280.T, Updated at 2016-08-31
3297.T, Updated at 2016-08-31
3384.NG, Updated at 2016-08-31
3385.T, Updated at 2016-08-31
3654.T, Updated at 2016-08-31
4343.T, Updated at 2016-08-31
4530.T, Updated at 2016-08-31
4668.T, Updated at 2016-08-31
4714.T, Updated at 2016-08-31
6064.T, Updated at 2016-08-31
6159.T, Updated at 2016-08-31
6168.HK, Updated at 2016-06-30
6255.T, Updated at 2016-08-31
6289.T, Updated at 2016-08-31
6323.T, Updated at 2016-08-31
6432.T, Updated at 2016-08-31
6496.T, Updated at 2016-08-31
7516.T, Updated at 2016-08-31
7577.T, Updated at 2016-08-31
7888.T, Updated at 2016-08-31
8028.T, Updated at 2016-08-31
8131.HK, Updated at 2016-08-31
8143.T, Updated at 2016-08-31
8194.T, Updated at 2016-08-31
8200.T, Updated at 2016-08-31
8260.T, Updated at 2016-08-31
8273.T, Updated at 2016-08-31
8289.T, Updated at 2016-08-31
9778.T, Updated at 2016-08-31
9945.T, Updated at 2016-08-31
ALMED.PA, Updated at 2016-09-30
APO.V, Updated at 2016-08-31
BJKAS.IS, Updated at 2016-08-31
BRGb.ST, Updated at 2016-08-31
CUDA.K, Updated at 2016-08-31
CZR.O, Updated at 2016-06-30
DPAP.PA, Updated at 2016-06-30
EEMS.MI, Updated at 2016-06-30
EEPC.PA, Updated at 2016-06-30
EKI.PA, Updated at 2016-09-30
ELGr.AT, Updated at 2016-06-30
FAST.O, Updated at 2016-09-30
FENER.IS, Updated at 2016-08-31
GMBR.NS, Updated at 2016-09-30
GRUH.NS, Updated at 2016-09-30
HAWK.O, Updated at 2016-09-10
HELE.O, Updated at 2016-08-31
IGBR3.SA, Updated at 2016-06-30
LIFE.SI, Updated at 2016-07-31
LNSX.F, Updated at 2016-06-30
LPHr.AT, Updated at 2016-06-30
NAYr.AT, Updated at 2016-06-30
ORES.ST, Updated at 2016-09-30
PINF.BO, Updated at 2016-06-30
QNBA.CA, Updated at 2016-09-30
QUAr.AT, Updated at 2016-06-30
RMCF.O, Updated at 2016-08-31
S24.MI, Updated at 2016-06-30
SAHGk.F, Updated at 2016-06-30
SAXG.DE, Updated at 2016-06-30
SFX.V, Updated at 2016-08-31
TRT, Updated at 2016-06-30
TRYG.CO, Updated at 2016-09-30
VAL.V, Updated at 2016-06-30
VOXX.O, Updated at 2016-08-31
XPRL.SI, Updated at 2016-07-31
