002430.SZ, Updated at 2016-09-30
002499.SZ, Updated at 2016-09-30
002517.SZ, Updated at 2016-09-30
002547.SZ, Updated at 2016-09-30
002562.SZ, Updated at 2016-09-30
005930.KS, Updated at 2016-09-30
0593q.L, Updated at 2016-09-30
0593xq.L, Updated at 2016-09-30
066570.KS, Updated at 2016-09-30
06N.WA, Updated at 2016-06-30
0719.HK, Updated at 2016-06-30
1476.HK, Updated at 2016-06-30
1486.HK, Updated at 2016-06-30
2417.T, Updated at 2016-08-31
300144.SZ, Updated at 2016-09-30
300375.SZ, Updated at 2016-09-30
3773.HK, Updated at 2016-06-30
4VI.BB, Updated at 2016-06-30
603199.SS, Updated at 2016-09-30
6657q.L, Updated at 2016-09-30
6SP.BB, Updated at 2016-06-30
8109.HK, Updated at 2016-06-30
8923.T, Updated at 2016-08-31
900120.KQ, Updated at 2016-06-30
ADVA.PA, Updated at 2016-06-30
ANSU.BO, Updated at 2016-03-31
ASCr.AT, Updated at 2016-06-30
ASE.CD, Updated at 2016-07-31
AXOr.AT, Updated at 2016-06-30
BABr.AT, Updated at 2016-06-30
BEKS.JK, Updated at 2016-06-30
BELAr.AT, Updated at 2016-06-30
BRGI.MI, Updated at 2016-06-30
BUMI.JK, Updated at 2016-06-30
BVQ.CD, Updated at 2016-07-31
CCAP.CA, Updated at 2016-06-30
CCLP.NS, Updated at 2016-09-30
CITY.BK, Updated at 2016-07-31
CITYf.BK, Updated at 2016-07-31
CITYn.BK, Updated at 2016-07-31
CWCG.DE, Updated at 2016-06-30
DAII.CO, Updated at 2016-06-30
DAIr.AT, Updated at 2016-06-30
DALG.D, Updated at 2016-03-31
DARG.DE, Updated at 2016-06-30
DGI.MC, Updated at 2016-06-30
DKRr.AT, Updated at 2016-06-30
EVEP.WA, Updated at 2016-06-30
FATL.PA, Updated at 2016-06-30
GIOI.ST, Updated at 2016-06-30
HTPV.VI, Updated at 2016-06-30
KIPA.IS, Updated at 2016-08-28
LVMH.PA, Updated at 2016-09-30
MTL, Updated at 2016-06-30
PASr.AT, Updated at 2016-06-30
PTNT3.SA, Updated at 2016-06-30
PTNT4.SA, Updated at 2016-06-30
QNBK.QA, Updated at 2016-09-30
RDLP.WA, Updated at 2016-06-30
RTCG.DE, Updated at 2016-06-30
SHV.CD, Updated at 2016-05-31
SIBK.NS, Updated at 2016-09-30
SMIT.O, Updated at 2016-08-31
SONI.LS, Updated at 2016-06-30
SPHE.NS, Updated at 2016-06-30
SPHL.SI, Updated at 2016-03-31
SVC.TO, Updated at 2016-08-31
UIAV.VI, Updated at 2016-06-30
VBS.CN, Updated at 2016-06-30
VDNT.PA, Updated at 2016-06-30
VILr.AT, Updated at 2016-06-30
VRS, Updated at 2016-06-30
VTSG.MC, Updated at 2016-06-30
ZOT.MC, Updated at 2016-08-31
