000010.SZ, Updated at 2016-09-30
000019.SZ, Updated at 2016-09-30
000023.SZ, Updated at 2016-09-30
000037.SZ, Updated at 2016-09-30
000055.SZ, Updated at 2016-09-30
000090.SZ, Updated at 2016-09-30
000099.SZ, Updated at 2016-09-30
000401.SZ, Updated at 2016-09-30
000613.SZ, Updated at 2016-09-30
000623.SZ, Updated at 2016-09-30
000685.SZ, Updated at 2016-09-30
000715.SZ, Updated at 2016-09-30
000725.SZ, Updated at 2016-09-30
000731.SZ, Updated at 2016-09-30
000810.SZ, Updated at 2016-09-30
000838.SZ, Updated at 2016-09-30
000859.SZ, Updated at 2016-09-30
000877.SZ, Updated at 2016-09-30
002003.SZ, Updated at 2016-09-30
002008.SZ, Updated at 2016-09-30
002011.SZ, Updated at 2016-09-30
002023.SZ, Updated at 2016-09-30
002026.SZ, Updated at 2016-09-30
002029.SZ, Updated at 2016-09-30
002037.SZ, Updated at 2016-09-30
002039.SZ, Updated at 2016-09-30
002049.SZ, Updated at 2016-09-30
002052.SZ, Updated at 2016-09-30
002053.SZ, Updated at 2016-09-30
002057.SZ, Updated at 2016-09-30
002065.SZ, Updated at 2016-09-30
002093.SZ, Updated at 2016-09-30
002094.SZ, Updated at 2016-09-30
002113.SZ, Updated at 2016-09-30
002119.SZ, Updated at 2016-09-30
002122.SZ, Updated at 2016-09-30
002123.SZ, Updated at 2016-09-30
002124.SZ, Updated at 2016-09-30
002158.SZ, Updated at 2016-09-30
002171.SZ, Updated at 2016-09-30
002177.SZ, Updated at 2016-09-30
002184.SZ, Updated at 2016-09-30
002193.SZ, Updated at 2016-09-30
002214.SZ, Updated at 2016-09-30
002229.SZ, Updated at 2016-09-30
002232.SZ, Updated at 2016-09-30
002250.SZ, Updated at 2016-09-30
002253.SZ, Updated at 2016-09-30
002260.SZ, Updated at 2016-09-30
002281.SZ, Updated at 2016-09-30
002287.SZ, Updated at 2016-09-30
002299.SZ, Updated at 2016-09-30
002305.SZ, Updated at 2016-09-30
002307.SZ, Updated at 2016-09-30
002329.SZ, Updated at 2016-09-30
002349.SZ, Updated at 2016-09-30
002351.SZ, Updated at 2016-09-30
002361.SZ, Updated at 2016-09-30
002372.SZ, Updated at 2016-09-30
002389.SZ, Updated at 2016-09-30
002398.SZ, Updated at 2016-09-30
002401.SZ, Updated at 2016-09-30
002438.SZ, Updated at 2016-09-30
002442.SZ, Updated at 2016-09-30
002457.SZ, Updated at 2016-09-30
002460.SZ, Updated at 2016-09-30
002480.SZ, Updated at 2016-09-30
002528.SZ, Updated at 2016-09-30
002535.SZ, Updated at 2016-09-30
002591.SZ, Updated at 2016-09-30
002597.SZ, Updated at 2016-09-30
002621.SZ, Updated at 2016-09-30
002632.SZ, Updated at 2016-09-30
002634.SZ, Updated at 2016-09-30
002673.SZ, Updated at 2016-09-30
002703.SZ, Updated at 2016-09-30
002722.SZ, Updated at 2016-09-30
002728.SZ, Updated at 2016-09-30
002735.SZ, Updated at 2016-09-30
002748.SZ, Updated at 2016-09-30
002772.SZ, Updated at 2016-09-30
004430.KS, Updated at 2016-09-30
0762.HK, Updated at 2016-09-30
1057.HK, Updated at 2016-09-30
200019.SZ, Updated at 2016-09-30
200037.SZ, Updated at 2016-09-30
200055.SZ, Updated at 2016-09-30
200613.SZ, Updated at 2016-09-30
200725.SZ, Updated at 2016-09-30
2351.T, Updated at 2016-09-30
2594.T, Updated at 2016-09-30
300015.SZ, Updated at 2016-09-30
300077.SZ, Updated at 2016-09-30
300079.SZ, Updated at 2016-09-30
3250.T, Updated at 2016-09-30
3778.T, Updated at 2016-09-30
4185.T, Updated at 2016-09-30
4556.T, Updated at 2016-09-30
4563.T, Updated at 2016-09-30
4973.T, Updated at 2016-09-30
4DA.BB, Updated at 2016-09-30
4KV.BB, Updated at 2016-09-30
4PB.BB, Updated at 2016-09-30
5204.T, Updated at 2016-09-20
57E.BB, Updated at 2016-09-30
5G2.BB, Updated at 2016-09-30
5OTZ.BB, Updated at 2016-09-30
600052.SS, Updated at 2016-09-30
600110.SS, Updated at 2016-09-30
600239.SS, Updated at 2016-09-30
600252.SS, Updated at 2016-09-30
600389.SS, Updated at 2016-09-30
600420.SS, Updated at 2016-09-30
600510.SS, Updated at 2016-09-30
600543.SS, Updated at 2016-09-30
600621.SS, Updated at 2016-09-30
600711.SS, Updated at 2016-09-30
600805.SS, Updated at 2016-09-30
600845.SS, Updated at 2016-09-30
600866.SS, Updated at 2016-09-30
600881.SS, Updated at 2016-09-30
600967.SS, Updated at 2016-09-30
600998.SS, Updated at 2016-09-30
601009.SS, Updated at 2016-09-30
601100.SS, Updated at 2016-09-30
601113.SS, Updated at 2016-09-30
601339.SS, Updated at 2016-09-30
601567.SS, Updated at 2016-09-30
601599.SS, Updated at 2016-09-30
601666.SS, Updated at 2016-09-30
601700.SS, Updated at 2016-09-30
601777.SS, Updated at 2016-09-30
601789.SS, Updated at 2016-09-30
603019.SS, Updated at 2016-09-30
603025.SS, Updated at 2016-09-30
603318.SS, Updated at 2016-09-30
6297.T, Updated at 2016-09-30
6663.T, Updated at 2016-09-20
8016.HK, Updated at 2016-09-30
8190.NG, Updated at 2016-09-20
8703.T, Updated at 2016-09-30
