000001.SZ, Updated at 2016-09-30
000028.SZ, Updated at 2016-09-30
000059.SZ, Updated at 2016-09-30
000062.SZ, Updated at 2016-09-30
000151.SZ, Updated at 2016-09-30
000404.SZ, Updated at 2016-09-30
000589.SZ, Updated at 2016-09-30
000603.SZ, Updated at 2016-09-30
000615.SZ, Updated at 2016-09-30
000655.SZ, Updated at 2016-09-30
000661.SZ, Updated at 2016-09-30
000666.SZ, Updated at 2016-09-30
000703.SZ, Updated at 2016-09-30
000708.SZ, Updated at 2016-09-30
000735.SZ, Updated at 2016-09-30
000753.SZ, Updated at 2016-09-30
000767.SZ, Updated at 2016-09-30
000776.SZ, Updated at 2016-09-30
000802.SZ, Updated at 2016-09-30
000809.SZ, Updated at 2016-09-30
000848.SZ, Updated at 2016-09-30
000856.SZ, Updated at 2016-09-30
000862.SZ, Updated at 2016-09-30
000885.SZ, Updated at 2016-09-30
000892.SZ, Updated at 2016-09-30
000921.SZ, Updated at 2016-09-30
000929.SZ, Updated at 2016-09-30
000963.SZ, Updated at 2016-09-30
000990.SZ, Updated at 2016-09-30
002017.SZ, Updated at 2016-09-30
002018.SZ, Updated at 2016-09-30
002025.SZ, Updated at 2016-09-30
002028.SZ, Updated at 2016-09-30
002032.SZ, Updated at 2016-09-30
002033.SZ, Updated at 2016-09-30
002040.SZ, Updated at 2016-09-30
002043.SZ, Updated at 2016-09-30
002046.SZ, Updated at 2016-09-30
002051.SZ, Updated at 2016-09-30
002056.SZ, Updated at 2016-09-30
002064.SZ, Updated at 2016-09-30
002072.SZ, Updated at 2016-09-30
002075.SZ, Updated at 2016-09-30
002080.SZ, Updated at 2016-09-30
002083.SZ, Updated at 2016-09-30
002087.SZ, Updated at 2016-09-30
002095.SZ, Updated at 2016-09-30
002105.SZ, Updated at 2016-09-30
002107.SZ, Updated at 2016-09-30
002108.SZ, Updated at 2016-09-30
002114.SZ, Updated at 2016-09-30
002118.SZ, Updated at 2016-09-30
002128.SZ, Updated at 2016-09-30
002132.SZ, Updated at 2016-09-30
002136.SZ, Updated at 2016-09-30
002138.SZ, Updated at 2016-09-30
002142.SZ, Updated at 2016-09-30
002144.SZ, Updated at 2016-09-30
002145.SZ, Updated at 2016-09-30
002152.SZ, Updated at 2016-09-30
002165.SZ, Updated at 2016-09-30
002167.SZ, Updated at 2016-09-30
002176.SZ, Updated at 2016-09-30
002182.SZ, Updated at 2016-09-30
002186.SZ, Updated at 2016-09-30
002187.SZ, Updated at 2016-09-30
002189.SZ, Updated at 2016-09-30
002190.SZ, Updated at 2016-09-30
002191.SZ, Updated at 2016-09-30
002198.SZ, Updated at 2016-09-30
002205.SZ, Updated at 2016-09-30
002207.SZ, Updated at 2016-09-30
002209.SZ, Updated at 2016-09-30
002218.SZ, Updated at 2016-09-30
002226.SZ, Updated at 2016-09-30
002233.SZ, Updated at 2016-09-30
002235.SZ, Updated at 2016-09-30
002243.SZ, Updated at 2016-09-30
002246.SZ, Updated at 2016-09-30
002249.SZ, Updated at 2016-09-30
002252.SZ, Updated at 2016-09-30
002254.SZ, Updated at 2016-09-30
002255.SZ, Updated at 2016-09-30
002259.SZ, Updated at 2016-09-30
002263.SZ, Updated at 2016-09-30
002265.SZ, Updated at 2016-09-30
002267.SZ, Updated at 2016-09-30
002268.SZ, Updated at 2016-09-30
002272.SZ, Updated at 2016-09-30
002275.SZ, Updated at 2016-09-30
002276.SZ, Updated at 2016-09-30
002283.SZ, Updated at 2016-09-30
002295.SZ, Updated at 2016-09-30
002298.SZ, Updated at 2016-09-30
002301.SZ, Updated at 2016-09-30
002310.SZ, Updated at 2016-09-30
002312.SZ, Updated at 2016-09-30
002320.SZ, Updated at 2016-09-30
002321.SZ, Updated at 2016-09-30
002322.SZ, Updated at 2016-09-30
002328.SZ, Updated at 2016-09-30
002330.SZ, Updated at 2016-09-30
002331.SZ, Updated at 2016-09-30
002336.SZ, Updated at 2016-09-30
002337.SZ, Updated at 2016-09-30
002338.SZ, Updated at 2016-09-30
002344.SZ, Updated at 2016-09-30
002348.SZ, Updated at 2016-09-30
002360.SZ, Updated at 2016-09-30
002363.SZ, Updated at 2016-09-30
002374.SZ, Updated at 2016-09-30
002388.SZ, Updated at 2016-09-30
