000046.SZ, Updated at 2016-09-30
000563.SZ, Updated at 2016-09-30
002880.KS, Updated at 2016-09-30
003570.KS, Updated at 2016-09-30
006040.KS, Updated at 2016-09-30
007570.KS, Updated at 2016-09-30
009520.KQ, Updated at 2016-09-30
014620.KQ, Updated at 2016-09-30
014820.KS, Updated at 2016-09-30
032640.KS, Updated at 2016-09-30
036530.KS, Updated at 2016-09-30
045300.KQ, Updated at 2016-09-30
049770.KS, Updated at 2016-09-30
0522.HK, Updated at 2016-09-30
053620.KQ, Updated at 2016-09-30
0576.HK, Updated at 2016-09-30
063160.KS, Updated at 2016-09-30
064960.KS, Updated at 2016-09-30
0728.HK, Updated at 2016-09-30
0857.HK, Updated at 2016-09-30
089470.KS, Updated at 2016-09-30
100840.KS, Updated at 2016-09-30
122990.KQ, Updated at 2016-09-30
1352.T, Updated at 2016-09-30
138490.KS, Updated at 2016-09-30
1417.T, Updated at 2016-09-30
1514.T, Updated at 2016-09-30
1560.TW, Updated at 2016-09-30
160980.KQ, Updated at 2016-09-30
1777.NG, Updated at 2016-09-30
185750.KS, Updated at 2016-09-30
1868.T, Updated at 2016-09-30
1869.NG, Updated at 2016-09-30
1906.T, Updated at 2016-09-30
1939.T, Updated at 2016-09-30
1941.T, Updated at 2016-09-30
1942.T, Updated at 2016-09-30
1944.T, Updated at 2016-09-30
1948.T, Updated at 2016-09-30
1950.T, Updated at 2016-09-30
195870.KS, Updated at 2016-09-30
1976.T, Updated at 2016-09-30
2109.T, Updated at 2016-09-30
2130.NG, Updated at 2016-09-30
214390.KS, Updated at 2016-09-30
2145.T, Updated at 2016-09-30
2152.T, Updated at 2016-09-30
2204.T, Updated at 2016-09-30
2332.T, Updated at 2016-09-30
2344.TW, Updated at 2016-09-30
2352.T, Updated at 2016-09-30
2359.T, Updated at 2016-09-30
2406.T, Updated at 2016-09-30
2412.T, Updated at 2016-09-30
2428.T, Updated at 2016-09-30
2439.TW, Updated at 2016-09-30
2440.T, Updated at 2016-09-30
2479.T, Updated at 2016-09-30
2497.T, Updated at 2016-09-30
2499.T, Updated at 2016-09-30
2503.T, Updated at 2016-09-30
2579.T, Updated at 2016-09-30
2692.T, Updated at 2016-09-30
2782.T, Updated at 2016-09-30
2810.T, Updated at 2016-09-30
2819.T, Updated at 2016-09-30
2883.T, Updated at 2016-09-30
2892.T, Updated at 2016-09-30
2901.T, Updated at 2016-09-30
3004.T, Updated at 2016-09-30
3011.TW, Updated at 2016-09-30
3023.T, Updated at 2016-09-30
3029.TW, Updated at 2016-09-30
3030.TW, Updated at 2016-09-30
3034.T, Updated at 2016-09-30
3045.TW, Updated at 2016-09-30
3049.TW, Updated at 2016-09-30
3098.T, Updated at 2016-09-30
3137.T, Updated at 2016-09-30
3156.T, Updated at 2016-09-30
3167.T, Updated at 2016-09-30
3294.T, Updated at 2016-09-30
3328.HK, Updated at 2016-09-30
3341.T, Updated at 2016-09-30
3352.T, Updated at 2016-09-30
3356.T, Updated at 2016-09-30
3388.T, Updated at 2016-09-30
3397.T, Updated at 2016-09-30
3407.T, Updated at 2016-09-30
3422.NG, Updated at 2016-09-30
3433.T, Updated at 2016-09-30
3439.T, Updated at 2016-09-30
3504.TW, Updated at 2016-09-30
3512.T, Updated at 2016-09-30
3513.T, Updated at 2016-09-30
3542.T, Updated at 2016-09-30
3553.T, Updated at 2016-09-30
3559.TW, Updated at 2016-09-30
3580.T, Updated at 2016-09-30
3598.T, Updated at 2016-09-30
3622.T, Updated at 2016-09-30
3628.T, Updated at 2016-09-30
3636.T, Updated at 2016-09-30
3658.TWO, Updated at 2016-09-30
3679.TW, Updated at 2016-09-30
3744.T, Updated at 2016-09-30
3762.T, Updated at 2016-09-30
3779.T, Updated at 2016-09-30
3799.T, Updated at 2016-09-30
3844.T, Updated at 2016-09-30
3849.SP, Updated at 2016-09-30
3891.T, Updated at 2016-09-30
3929.T, Updated at 2016-09-30
4044.T, Updated at 2016-09-30
4112.T, Updated at 2016-09-30
4183.T, Updated at 2016-09-30
4216.T, Updated at 2016-09-30
4229.T, Updated at 2016-09-30
4275.T, Updated at 2016-09-30
4318.T, Updated at 2016-09-30
4341.T, Updated at 2016-09-30
4345.T, Updated at 2016-09-30
4461.T, Updated at 2016-09-30
4502.T, Updated at 2016-09-30
4523.T, Updated at 2016-09-30
4534.T, Updated at 2016-09-30
4539.T, Updated at 2016-09-30
4544.T, Updated at 2016-09-30
4585.T, Updated at 2016-09-30
4615.T, Updated at 2016-09-30
4626.T, Updated at 2016-09-30
4644.T, Updated at 2016-09-30
4658.T, Updated at 2016-09-30
4659.T, Updated at 2016-09-30
4665.T, Updated at 2016-09-30
4676.T, Updated at 2016-09-30
4684.T, Updated at 2016-09-30
4695.T, Updated at 2016-09-30
4696.T, Updated at 2016-09-30
4733.T, Updated at 2016-09-30
4768.T, Updated at 2016-09-30
4771.T, Updated at 2016-09-30
4826.T, Updated at 2016-09-30
4840.T, Updated at 2016-09-30
4919.TW, Updated at 2016-09-30
4922.T, Updated at 2016-09-30
4926.T, Updated at 2016-09-30
4927.T, Updated at 2016-09-30
4956.TW, Updated at 2016-09-30
5008.T, Updated at 2016-09-30
5009.T, Updated at 2016-09-30
5010.T, Updated at 2016-09-30
5185.T, Updated at 2016-09-30
5191.T, Updated at 2016-09-30
5203.TW, Updated at 2016-09-30
5214.T, Updated at 2016-09-30
5261.T, Updated at 2016-09-30
5280.T, Updated at 2016-09-30
5332.T, Updated at 2016-09-30
5334.T, Updated at 2016-09-30
5344.T, Updated at 2016-09-30
5388.T, Updated at 2016-09-30
5406.T, Updated at 2016-09-30
5444.T, Updated at 2016-09-30
5458.T, Updated at 2016-09-30
5480.T, Updated at 2016-09-30
5603.T, Updated at 2016-09-30
5612.T, Updated at 2016-09-30
5726.T, Updated at 2016-09-30
5742.T, Updated at 2016-09-30
5781.T, Updated at 2016-09-30
5820.T, Updated at 2016-09-30
5911.T, Updated at 2016-09-30
5951.T, Updated at 2016-09-30
5959.T, Updated at 2016-09-30
5970.T, Updated at 2016-09-30
5983.T, Updated at 2016-09-30
601566.SS, Updated at 2016-09-30
6022.T, Updated at 2016-09-30
6027.T, Updated at 2016-09-30
6042.T, Updated at 2016-09-30
6103.T, Updated at 2016-09-30
6121.T, Updated at 2016-09-30
6135.T, Updated at 2016-09-30
6157.T, Updated at 2016-09-30
6186.T, Updated at 2016-09-30
6251.TW, Updated at 2016-09-30
6268.T, Updated at 2016-09-30
6278.TW, Updated at 2016-09-30
6301.T, Updated at 2016-09-30
6302.T, Updated at 2016-09-30
6325.T, Updated at 2016-09-30
6331.T, Updated at 2016-09-30
6349.T, Updated at 2016-09-30
6355.T, Updated at 2016-09-30
6356.T, Updated at 2016-09-30
6370.T, Updated at 2016-09-30
6391.T, Updated at 2016-09-30
6395.T, Updated at 2016-09-30
6467.T, Updated at 2016-09-30
6473.T, Updated at 2016-09-30
6484.T, Updated at 2016-09-30
6488.T, Updated at 2016-09-30
6498.T, Updated at 2016-09-30
