000020.SZ, Updated at 2016-09-30
000026.SZ, Updated at 2016-09-30
000040.SZ, Updated at 2016-09-30
000042.SZ, Updated at 2016-09-30
000049.SZ, Updated at 2016-09-30
000061.SZ, Updated at 2016-09-30
000070.SZ, Updated at 2016-09-30
000088.SZ, Updated at 2016-09-30
000158.SZ, Updated at 2016-09-30
000417.SZ, Updated at 2016-09-30
000418.SZ, Updated at 2016-09-30
000498.SZ, Updated at 2016-09-30
000502.SZ, Updated at 2016-09-30
000510.SZ, Updated at 2016-09-30
000514.SZ, Updated at 2016-09-30
000523.SZ, Updated at 2016-09-30
000530.SZ, Updated at 2016-09-30
000537.SZ, Updated at 2016-09-30
000541.SZ, Updated at 2016-09-30
000545.SZ, Updated at 2016-09-30
000546.SZ, Updated at 2016-09-30
000550.SZ, Updated at 2016-09-30
000551.SZ, Updated at 2016-09-30
000553.SZ, Updated at 2016-09-30
000555.SZ, Updated at 2016-09-30
000557.SZ, Updated at 2016-09-30
000560.SZ, Updated at 2016-09-30
000566.SZ, Updated at 2016-09-30
000568.SZ, Updated at 2016-09-30
000576.SZ, Updated at 2016-09-30
000581.SZ, Updated at 2016-09-30
000585.SZ, Updated at 2016-09-30
000590.SZ, Updated at 2016-09-30
000597.SZ, Updated at 2016-09-30
000609.SZ, Updated at 2016-09-30
000612.SZ, Updated at 2016-09-30
000616.SZ, Updated at 2016-09-30
000622.SZ, Updated at 2016-09-30
000625.SZ, Updated at 2016-09-30
000627.SZ, Updated at 2016-09-30
000628.SZ, Updated at 2016-09-30
000630.SZ, Updated at 2016-09-30
000637.SZ, Updated at 2016-09-30
000668.SZ, Updated at 2016-09-30
000672.SZ, Updated at 2016-09-30
000677.SZ, Updated at 2016-09-30
000682.SZ, Updated at 2016-09-30
000683.SZ, Updated at 2016-09-30
000687.SZ, Updated at 2016-09-30
000688.SZ, Updated at 2016-09-30
000692.SZ, Updated at 2016-09-30
000693.SZ, Updated at 2016-09-30
000698.SZ, Updated at 2016-09-30
000700.SZ, Updated at 2016-09-30
000709.SZ, Updated at 2016-09-30
000711.SZ, Updated at 2016-09-30
000717.SZ, Updated at 2016-09-30
000719.SZ, Updated at 2016-09-30
000721.SZ, Updated at 2016-09-30
000723.SZ, Updated at 2016-09-30
000751.SZ, Updated at 2016-09-30
000758.SZ, Updated at 2016-09-30
000759.SZ, Updated at 2016-09-30
