000004.SZ, Updated at 2016-09-30
000005.SZ, Updated at 2016-09-30
000006.SZ, Updated at 2016-09-30
000007.SZ, Updated at 2016-09-30
000011.SZ, Updated at 2016-09-30
000014.SZ, Updated at 2016-09-30
000016.SZ, Updated at 2016-09-30
000017.SZ, Updated at 2016-09-30
000021.SZ, Updated at 2016-09-30
000030.SZ, Updated at 2016-09-30
000035.SZ, Updated at 2016-09-30
000036.SZ, Updated at 2016-09-30
000038.SZ, Updated at 2016-09-30
000048.SZ, Updated at 2016-09-30
000058.SZ, Updated at 2016-09-30
000063.SZ, Updated at 2016-09-30
000066.SZ, Updated at 2016-09-30
000068.SZ, Updated at 2016-09-30
000069.SZ, Updated at 2016-09-30
000078.SZ, Updated at 2016-09-30
000089.SZ, Updated at 2016-09-30
000150.SZ, Updated at 2016-09-30
000155.SZ, Updated at 2016-09-30
000157.SZ, Updated at 2016-09-30
000301.SZ, Updated at 2016-09-30
000333.SZ, Updated at 2016-09-30
000408.SZ, Updated at 2016-09-30
000409.SZ, Updated at 2016-09-30
000410.SZ, Updated at 2016-09-30
000411.SZ, Updated at 2016-09-30
000413.SZ, Updated at 2016-09-30
000415.SZ, Updated at 2016-09-30
000416.SZ, Updated at 2016-09-30
000422.SZ, Updated at 2016-09-30
000423.SZ, Updated at 2016-09-30
000425.SZ, Updated at 2016-09-30
000426.SZ, Updated at 2016-09-30
000428.SZ, Updated at 2016-09-30
000501.SZ, Updated at 2016-09-30
000503.SZ, Updated at 2016-09-30
000504.SZ, Updated at 2016-09-30
000505.SZ, Updated at 2016-09-30
000507.SZ, Updated at 2016-09-30
000509.SZ, Updated at 2016-09-30
000511.SZ, Updated at 2016-09-30
000517.SZ, Updated at 2016-09-30
000519.SZ, Updated at 2016-09-30
000520.SZ, Updated at 2016-09-30
000524.SZ, Updated at 2016-09-30
000528.SZ, Updated at 2016-09-30
000533.SZ, Updated at 2016-09-30
000534.SZ, Updated at 2016-09-30
000536.SZ, Updated at 2016-09-30
000539.SZ, Updated at 2016-09-30
000540.SZ, Updated at 2016-09-30
000548.SZ, Updated at 2016-09-30
000552.SZ, Updated at 2016-09-30
000564.SZ, Updated at 2016-09-30
000567.SZ, Updated at 2016-09-30
000572.SZ, Updated at 2016-09-30
000573.SZ, Updated at 2016-09-30
000586.SZ, Updated at 2016-09-30
000592.SZ, Updated at 2016-09-30
000593.SZ, Updated at 2016-09-30
000595.SZ, Updated at 2016-09-30
000596.SZ, Updated at 2016-09-30
000599.SZ, Updated at 2016-09-30
000601.SZ, Updated at 2016-09-30
000617.SZ, Updated at 2016-09-30
000620.SZ, Updated at 2016-09-30
000626.SZ, Updated at 2016-09-30
000629.SZ, Updated at 2016-09-30
000633.SZ, Updated at 2016-09-30
000638.SZ, Updated at 2016-09-30
000651.SZ, Updated at 2016-09-30
000652.SZ, Updated at 2016-09-30
000656.SZ, Updated at 2016-09-30
000662.SZ, Updated at 2016-09-30
000663.SZ, Updated at 2016-09-30
000671.SZ, Updated at 2016-09-30
000676.SZ, Updated at 2016-09-30
000679.SZ, Updated at 2016-09-30
000680.SZ, Updated at 2016-09-30
000707.SZ, Updated at 2016-09-30
000712.SZ, Updated at 2016-09-30
000713.SZ, Updated at 2016-09-30
000722.SZ, Updated at 2016-09-30
000732.SZ, Updated at 2016-09-30
000736.SZ, Updated at 2016-09-30
000748.SZ, Updated at 2016-09-30
000755.SZ, Updated at 2016-09-30
000760.SZ, Updated at 2016-09-30
000778.SZ, Updated at 2016-09-30
000779.SZ, Updated at 2016-09-30
000783.SZ, Updated at 2016-09-30
000789.SZ, Updated at 2016-09-30
000791.SZ, Updated at 2016-09-30
000796.SZ, Updated at 2016-09-30
000797.SZ, Updated at 2016-09-30
000799.SZ, Updated at 2016-09-30
000800.SZ, Updated at 2016-09-30
000801.SZ, Updated at 2016-09-30
000807.SZ, Updated at 2016-09-30
000813.SZ, Updated at 2016-09-30
000815.SZ, Updated at 2016-09-30
000816.SZ, Updated at 2016-09-30
000818.SZ, Updated at 2016-09-30
000819.SZ, Updated at 2016-09-30
000820.SZ, Updated at 2016-09-30
000821.SZ, Updated at 2016-09-30
000823.SZ, Updated at 2016-09-30
000826.SZ, Updated at 2016-09-30
000829.SZ, Updated at 2016-09-30
000833.SZ, Updated at 2016-09-30
000835.SZ, Updated at 2016-09-30
000837.SZ, Updated at 2016-09-30
000850.SZ, Updated at 2016-09-30
000860.SZ, Updated at 2016-09-30
000887.SZ, Updated at 2016-09-30
000889.SZ, Updated at 2016-09-30
000893.SZ, Updated at 2016-09-30
000900.SZ, Updated at 2016-09-30
000901.SZ, Updated at 2016-09-30
000902.SZ, Updated at 2016-09-30
000903.SZ, Updated at 2016-09-30
000905.SZ, Updated at 2016-09-30
000913.SZ, Updated at 2016-09-30
000916.SZ, Updated at 2016-09-30
000917.SZ, Updated at 2016-09-30
000919.SZ, Updated at 2016-09-30
000923.SZ, Updated at 2016-09-30
000927.SZ, Updated at 2016-09-30
000928.SZ, Updated at 2016-09-30
000931.SZ, Updated at 2016-09-30
000932.SZ, Updated at 2016-09-30
000937.SZ, Updated at 2016-09-30
000939.SZ, Updated at 2016-09-30
000951.SZ, Updated at 2016-09-30
000953.SZ, Updated at 2016-09-30
000955.SZ, Updated at 2016-09-30
000957.SZ, Updated at 2016-09-30
000959.SZ, Updated at 2016-09-30
000962.SZ, Updated at 2016-09-30
000965.SZ, Updated at 2016-09-30
000966.SZ, Updated at 2016-09-30
000971.SZ, Updated at 2016-09-30
000972.SZ, Updated at 2016-09-30
000973.SZ, Updated at 2016-09-30
000978.SZ, Updated at 2016-09-30
000979.SZ, Updated at 2016-09-30
000981.SZ, Updated at 2016-09-30
000982.SZ, Updated at 2016-09-30
000983.SZ, Updated at 2016-09-30
000985.SZ, Updated at 2016-09-30
000993.SZ, Updated at 2016-09-30
000996.SZ, Updated at 2016-09-30
000997.SZ, Updated at 2016-09-30
000999.SZ, Updated at 2016-09-30
001696.SZ, Updated at 2016-09-30
001979.SZ, Updated at 2016-09-30
002014.SZ, Updated at 2016-09-30
002024.SZ, Updated at 2016-09-30
002027.SZ, Updated at 2016-09-30
002030.SZ, Updated at 2016-09-30
002055.SZ, Updated at 2016-09-30
002058.SZ, Updated at 2016-09-30
002067.SZ, Updated at 2016-09-30
002069.SZ, Updated at 2016-09-30
002090.SZ, Updated at 2016-09-30
002096.SZ, Updated at 2016-09-30
002097.SZ, Updated at 2016-09-30
002101.SZ, Updated at 2016-09-30
002102.SZ, Updated at 2016-09-30
002103.SZ, Updated at 2016-09-30
002120.SZ, Updated at 2016-09-30
002121.SZ, Updated at 2016-09-30
002127.SZ, Updated at 2016-09-30
002130.SZ, Updated at 2016-09-30
002131.SZ, Updated at 2016-09-30
002154.SZ, Updated at 2016-09-30
002156.SZ, Updated at 2016-09-30
002161.SZ, Updated at 2016-09-30
002163.SZ, Updated at 2016-09-30
002170.SZ, Updated at 2016-09-30
002175.SZ, Updated at 2016-09-30
002179.SZ, Updated at 2016-09-30
002180.SZ, Updated at 2016-09-30
002183.SZ, Updated at 2016-09-30
002185.SZ, Updated at 2016-09-30
002188.SZ, Updated at 2016-09-30
002195.SZ, Updated at 2016-09-30
002202.SZ, Updated at 2016-09-30
002203.SZ, Updated at 2016-09-30
002204.SZ, Updated at 2016-09-30
002208.SZ, Updated at 2016-09-30
002212.SZ, Updated at 2016-09-30
002213.SZ, Updated at 2016-09-30
002215.SZ, Updated at 2016-09-30
002219.SZ, Updated at 2016-09-30
002220.SZ, Updated at 2016-09-30
002224.SZ, Updated at 2016-09-30
002227.SZ, Updated at 2016-09-30
002228.SZ, Updated at 2016-09-30
002242.SZ, Updated at 2016-09-30
002244.SZ, Updated at 2016-09-30
002247.SZ, Updated at 2016-09-30
002251.SZ, Updated at 2016-09-30
002256.SZ, Updated at 2016-09-30
002266.SZ, Updated at 2016-09-30
002273.SZ, Updated at 2016-09-30
002274.SZ, Updated at 2016-09-30
002280.SZ, Updated at 2016-09-30
002284.SZ, Updated at 2016-09-30
002289.SZ, Updated at 2016-09-30
002290.SZ, Updated at 2016-09-30
002291.SZ, Updated at 2016-09-30
002292.SZ, Updated at 2016-09-30
002296.SZ, Updated at 2016-09-30
002297.SZ, Updated at 2016-09-30
002303.SZ, Updated at 2016-09-30
002308.SZ, Updated at 2016-09-30
002313.SZ, Updated at 2016-09-30
002314.SZ, Updated at 2016-09-30
002318.SZ, Updated at 2016-09-30
002319.SZ, Updated at 2016-09-30
002324.SZ, Updated at 2016-09-30
002325.SZ, Updated at 2016-09-30
002333.SZ, Updated at 2016-09-30
002334.SZ, Updated at 2016-09-30
002335.SZ, Updated at 2016-09-30
002339.SZ, Updated at 2016-09-30
002340.SZ, Updated at 2016-09-30
002354.SZ, Updated at 2016-09-30
002370.SZ, Updated at 2016-09-30
002375.SZ, Updated at 2016-09-30
002378.SZ, Updated at 2016-09-30
002382.SZ, Updated at 2016-09-30
002385.SZ, Updated at 2016-09-30
002391.SZ, Updated at 2016-09-30
002399.SZ, Updated at 2016-09-30
002412.SZ, Updated at 2016-09-30
002413.SZ, Updated at 2016-09-30
002417.SZ, Updated at 2016-09-30
002418.SZ, Updated at 2016-09-30
002419.SZ, Updated at 2016-09-30
002432.SZ, Updated at 2016-09-30
002447.SZ, Updated at 2016-09-30
002451.SZ, Updated at 2016-09-30
002452.SZ, Updated at 2016-09-30
002456.SZ, Updated at 2016-09-30
002473.SZ, Updated at 2016-09-30
002489.SZ, Updated at 2016-09-30
002503.SZ, Updated at 2016-09-30
002504.SZ, Updated at 2016-09-30
002505.SZ, Updated at 2016-09-30
002523.SZ, Updated at 2016-09-30
002531.SZ, Updated at 2016-09-30
002540.SZ, Updated at 2016-09-30
002555.SZ, Updated at 2016-09-30
002564.SZ, Updated at 2016-09-30
002570.SZ, Updated at 2016-09-30
002577.SZ, Updated at 2016-09-30
002585.SZ, Updated at 2016-09-30
002586.SZ, Updated at 2016-09-30
002593.SZ, Updated at 2016-09-30
002594.SZ, Updated at 2016-09-30
002605.SZ, Updated at 2016-09-30
002606.SZ, Updated at 2016-09-30
002647.SZ, Updated at 2016-09-30
002650.SZ, Updated at 2016-09-30
002663.SZ, Updated at 2016-09-30
002668.SZ, Updated at 2016-09-30
002672.SZ, Updated at 2016-09-30
002694.SZ, Updated at 2016-09-30
002736.SZ, Updated at 2016-09-30
002742.SZ, Updated at 2016-09-30
002745.SZ, Updated at 2016-09-30
002749.SZ, Updated at 2016-09-30
002768.SZ, Updated at 2016-09-30
002789.SZ, Updated at 2016-09-30
002797.SZ, Updated at 2016-09-30
0038.HK, Updated at 2016-09-30
003850.KS, Updated at 2016-09-30
004020.KS, Updated at 2016-09-30
006280.KS, Updated at 2016-09-30
006400.KS, Updated at 2016-09-30
006650.KS, Updated at 2016-09-30
007070.KS, Updated at 2016-09-30
008770.KS, Updated at 2016-09-30
008930.KS, Updated at 2016-09-30
011170.KS, Updated at 2016-09-30
011210.KS, Updated at 2016-09-30
011780.KS, Updated at 2016-09-30
012330.KS, Updated at 2016-09-30
