6489.T, Updated at 2016-08-31
6505.T, Updated at 2016-08-31
7501.T, Updated at 2016-08-31
7513.T, Updated at 2016-08-31
7581.T, Updated at 2016-08-31
7725.T, Updated at 2016-08-31
7847.T, Updated at 2016-08-31
7894.FU, Updated at 2016-08-31
8008.T, Updated at 2016-08-31
8167.T, Updated at 2016-08-31
8175.T, Updated at 2016-08-31
9835.T, Updated at 2016-08-31
AA, Updated at 2016-09-30
AAI.AX, Updated at 2016-09-30
AAPb.ST, Updated at 2016-07-31
AA_pb, Updated at 2016-09-30
ABR.V, Updated at 2016-07-31
AGSr.AT, Updated at 2016-06-30
ALBr.AT, Updated at 2016-06-30
ALDRV.PA, Updated at 2016-09-30
ALTVO.PA, Updated at 2016-09-30
ARD.V, Updated at 2016-05-31
ARWA.O, Updated at 2016-08-31
ARWAU.O, Updated at 2016-08-31
AVV.CD, Updated at 2016-07-31
BASFn.DE, Updated at 2016-09-30
BKR.V, Updated at 2016-08-31
BRS.V, Updated at 2016-07-31
CANI.JK, Updated at 2016-06-30
CAST.ST, Updated at 2016-09-30
CE2G.DE, Updated at 2016-08-31
CMI.V, Updated at 2016-08-31
CNBKA.O, Updated at 2016-09-30
CNO.V, Updated at 2016-08-31
CSX.O, Updated at 2016-09-23
EBIr.AT, Updated at 2016-06-30
ELM.V, Updated at 2016-05-31
ERIC.O, Updated at 2016-09-30
ERICa.ST, Updated at 2016-09-30
ERICb.ST, Updated at 2016-09-30
ESMC.O, Updated at 2016-06-30
ETL.PA, Updated at 2016-06-30
EXPA.CA, Updated at 2016-06-30
GCC.MX, Updated at 2016-09-30
GSRAY.IS, Updated at 2016-08-31
HIFS.O, Updated at 2016-09-30
IGP.V, Updated at 2016-06-30
ILYr.AT, Updated at 2016-06-30
KABO.CA, Updated at 2016-06-30
KLEr.AT, Updated at 2016-06-30
LAZI.MI, Updated at 2016-06-30
MTY.TO, Updated at 2016-08-31
NTB.TO, Updated at 2016-08-31
OZRK.O, Updated at 2016-09-30
PEL.MI, Updated at 2016-06-30
PSBP.PA, Updated at 2016-09-30
RRE.V, Updated at 2016-07-31
STAF.O, Updated at 2016-08-31
TPGC.KL, Updated at 2016-08-31
TSRI.O, Updated at 2016-08-31
UUU, Updated at 2016-06-30
WAF.AX, Updated at 2016-06-30
WCB.V, Updated at 2016-03-31
