; Consumer Discretionary; Consumer Staples; Energy; Financials; Health Care; Industrials; Information Technology; Materials; NULL; Real Estate; Telecommunication Services; Utilities; 
991018_000401; -0.0672767827857; -0.120477043116; -0.125465717765; 0.0640753624398; 0.0943943760433; -0.0715441023364; 0.27850962053; -0.0446916827358; -0.032744366932; -0.0947472410013; 0.649635704962; -0.12100917795; 
991018_991119; 0.00631977369566; -0.0253751534399; -0.0555082936853; 0.0354657672082; 0.0238101814814; -0.0334901335201; 0.149369843132; -0.0454649180152; 0.01266981267; 0.00307381460087; 0.58527396974; -0.0106708752235; 
991018_000306; -0.0858777627994; -0.136821043504; -0.160698809721; 0.000359568723922; 0.0988554061959; -0.113732441448; 0.292060249742; -0.0875496862105; -0.10735263918; -0.110341414783; 0.790796420762; -0.141170015695; 
991119_000306; -0.0976975043715; -0.113234836825; -0.106363209035; -0.0352263401528; 0.0443734403177; -0.0874907437896; 0.108612220426; -0.0388512750327; -0.12201954385; -0.113605220937; 0.11779739024; -0.131469675202; 
991018_001231; -0.207497974173; -0.165868911222; -0.0939406778553; -0.100281914177; 0.0325638963208; -0.135016009294; -0.0949297663935; -0.079041218443; -0.122255052966; -0.103771258824; -0.41302848045; 0.00831161782409; 
000306_001231; -0.0935024621211; -0.0471340811059; 0.0957040885224; -0.0623864621952; -0.00261034327365; 0.000240670927133; -0.212245019484; 0.0202229321623; 0.02398957412; 0.001641145702; -0.60361645028; 0.183489357411; 
161118_170430; 0.139481032182; 0.127348461777; 0.167582146304; 0.134113497075; 0.11966646277; 0.175367632799; 0.20038102246; 0.178091844053; 0; 0.0670731529802; 0.195882376344; 0.0695221649428; 
161201_170430; 0.0794727649181; 0.10559550435; 0.0422539129585; 0.0119691304129; 0.0721382911393; 0.0914040411707; 0.135270335702; 0.096368875906; 0; 0.0123630735143; 0.16422151793; 0.0312283052964; 
