; Aerospace & Defense; Air Freight & Logistics; Airlines; Auto Components; Automobiles; Banks; Beverages; Biotechnology; Building Products; Capital Markets; Chemicals; Commercial Services & Supplies; Communications Equipment; Construction & Engineering; Construction Materials; Consumer Finance; Containers & Packaging; Distributors; Diversified Consumer Services; Diversified Financial Services; Diversified Telecommunication Services; Electric Utilities; Electrical Equipment; Electronic Equipment, Instruments & Components; Energy Equipment & Services; Equity Real Estate Investment Trusts (REITs); Food & Staples Retailing; Food Products; Gas Utilities; Health Care Equipment & Supplies; Health Care Providers & Services; Health Care Technology; Hotels, Restaurants & Leisure; Household Durables; Household Products; Independent Power and Renewable Electricity Producers; Industrial Conglomerates; Insurance; Internet & Direct Marketing Retail; Internet Software & Services; IT Services; Leisure Products; Life Sciences Tools & Services; Machinery; Marine; Media; Metals & Mining; Multi-Utilities; Multiline Retail; NULL; Oil, Gas & Consumable Fuels; Paper & Forest Products; Personal Products; Pharmaceuticals; Professional Services; Real Estate Management & Development; Road & Rail; Semiconductors & Semiconductor Equipment; Software; Specialty Retail; Technology Hardware, Storage & Peripherals; Textiles, Apparel & Luxury Goods; Thrifts & Mortgage Finance; Tobacco; Trading Companies & Distributors; Transportation Infrastructure; Water Utilities; Wireless Telecommunication Services; 
991018_000401; 0.409955331298; 0.312335448329; 0.381185653967; 0.666708963908; 0.565996603829; 0.190269176336; 0.154047010315; 1.67741634942; 0.335914911749; 1.12310915189; 0.177296104044; 0.555451453665; 1.32781577664; 0.102851303999; 0.4766003243; -0.111220558189; 0.279822084992; 0.0156117753626; 0.0263754193844; 0.780268250852; 1.24146597024; 0.277247757967; 0.475731659408; 0.799613460439; 0.246409560212; 0.648647137502; 0.0105054078562; 0.0659535572382; 0.358817222576; 0.634539542847; 0.227870564103; 0.846149804925; 0.648979457398; 0.361438961802; 0.0251010385467; 0.450638878719; 0.756015045681; 0.289628155713; 0.489381973766; 1.5576729709; 1.66885285881; 0.282678803752; 2.69497623775; 0.22390935682; 0.151806716025; 0.722944063797; 0.497051113991; 0.296887540596; 0.364663719457; 0.217593847515; 0.23310708632; 0.10097396384; 0.328804290539; 0.484824337593; 0.715619899629; 0.40038361075; 0.102001242208; 1.67501686199; 1.28635324891; 0.185249363731; 0.800566826457; 0.317764949877; -0.04882738611; -0.219542418743; 0.0738844158753; 0.452595041676; -0.00603513762111; 0.644960098517; 
991018_991119; 0.0514942630551; 0.108958232217; 0.089979238091; 0.0717756011189; 0.0952490113425; 0.0752515282086; 0.049721235319; 0.11007490234; 0.0705774918869; 0.155116005296; 0.0397500193298; 0.0431713436434; 0.322404395854; 0.0446973330469; 0.08093692499; -0.00418051388571; 0.0688625424377; 0.199838355829; 0.132001686964; 0.0826855264821; 0.250752618686; 0.031547190819; 0.1317822707; 0.118176799407; 0.0958209687743; 0.0642202227654; 0.0428534231836; 0.0585138737234; 0.307429220582; 0.133504720434; 0.0896534154617; 0.251843035704; 0.0691781388196; 0.0753982837516; 0.0605382669673; 0.0655313383364; 0.599727050681; 0.078296700689; 0.0982442247691; 0.542405970087; 0.270118127575; 0.0192670080827; 0.0600585107946; 0.0553896645612; 0.0269655551415; 0.122599330646; 0.0768119053269; 0.0204365507591; -0.0392812733223; 0.022346822985; 0.317831393707; 0.0583691915998; 0.0179716848173; 0.0873115956494; 0.153443935827; 0.0851579683332; 0.0359693554212; 0.391969263754; 0.26091600931; 0.0588047246688; 0.139866268474; 0.0832914302935; 0.0373811752467; -0.121909662239; 0.0794459983937; 0.13357285604; 0.00714991513571; 0.141599687488; 
991018_000306; 0.399374264832; 0.295980970979; 0.512149912078; 0.461983821178; 0.507105591433; 0.215784047079; 0.131785385834; 1.8881248394; 0.32572918791; 1.22053153835; 0.178502435106; 0.490159129472; 1.73460018625; 0.110947321552; 0.469302713833; -0.10068862536; 0.299665052095; 0.300382759002; 0.0419424295333; 0.781504947385; 1.80887654727; 0.253214929973; 0.53769923265; 1.1031198919; 0.246221942592; 0.735751006874; -0.00102060511069; 0.0728558472924; 0.4321515527; 0.820830010416; 0.214689731155; 1.33882724705; 0.95351134197; 0.337057704149; 0.047297357435; 0.28696597597; 0.803293919966; 0.236943435377; 0.639787956312; 2.53455078462; 2.30838051571; 0.236184454837; 3.99674954138; 0.201342785592; 0.142826997645; 1.03444342143; 0.630425785379; 0.34939905493; 0.0929450059469; 0.296208559888; 0.204089881224; 0.071918480727; 0.574270469976; 0.55790949097; 0.851624303236; 0.596733164911; 0.0533709301456; 2.20805973402; 2.06303213095; 0.247376752308; 1.00520139239; 0.312523993608; 0.00165303181; -0.243879227431; 0.103332094043; 0.830656259493; 0.0566324581067; 0.9416440117; 
991119_000306; 0.301118965031; 0.148187988866; 0.33231466487; 0.345733902067; 0.300930861139; 0.117556959781; 0.0751436520978; 1.64018053879; 0.212926725962; 0.844824726081; 0.120862290475; 0.425676880612; 1.00416706884; 0.0719361098827; 0.37131963355; -0.0966882528429; 0.193742375934; 0.108895059208; -0.0414048820267; 0.616338003072; 1.21735114513; 0.225895239938; 0.359439590519; 0.863508261634; 0.129698703953; 0.518436299564; -0.0345210961379; 0.0323129550788; 0.087585351356; 0.593188804331; 0.0880596963783; 0.990909150075; 0.692200016278; 0.234802510823; 0.0245938136525; 0.211736799151; 0.502574132025; 0.105559803885; 0.646255777055; 1.80296820867; 1.52659302873; 0.222192495254; 3.79722159302; 0.133057471475; 0.0897837978392; 0.77222289501; 0.558224508407; 0.312262045438; 0.0531792882369; 0.25412598735; 0.0910580781781; 0.014614567613; 0.589414964235; 0.404448195016; 0.597408905744; 0.309503450467; 0.000627306388889; 1.43830290738; 1.52129922464; 0.141865596981; 0.74699178696; 0.216650993073; -0.02456372716; -0.143073654249; 0.0270931277985; 0.478917121835; 0.0433912623033; 0.675570254; 
991018_001231; 0.349822002297; 0.35400329568; 0.449189686565; 0.414187560543; 0.239776201059; 0.17651420236; 0.0792326194793; 0.601509275583; 0.346500342096; 0.621374939817; 0.131749731105; 0.304172750384; 0.646015077095; 0.0816321353469; 0.109163272968; -0.0729773849456; 0.0937799035198; -0.167402903036; 0.44956914394; 0.376097553687; 0.0300566007978; 0.0316085545737; 0.382359238764; 0.457085216311; 0.308056420779; 0.541807708219; 0.0199208623787; 0.0426918191878; 0.15694847338; 0.711721771731; 0.152280897522; 0.0415433643087; 0.586950209749; 0.200768645263; 0.120434051175; 0.267078322348; 0.425837062599; 0.422223564052; 0.0997378833688; -0.139320845204; 0.199793279924; 0.4026513399; 1.75527834792; 0.216757481365; 0.125299079116; 0.134832831353; 0.454581719618; 0.334431993311; 0.103326099545; 0.282802721522; 0.333069239039; 0.0319356591775; 0.169710894544; 0.514377465231; 0.502414167055; 0.263924033183; -0.0881082917667; 1.02210051457; 0.0492000344884; -0.0492559478207; -0.0145704239096; 0.0780701105191; 0.138577895738; 0.23149786798; 88.7402608324; 0.407557413887; 0.032990479686; -0.13685190446; 
000306_001231; 0.110823706532; 0.0321751125146; 0.16900916362; -0.0187309800907; -0.0709099241545; 0.0342312719272; 0.0104880111298; -0.266410104958; 0.0211170320242; -0.0718065839203; 0.0100246436194; -0.00365459522083; -0.161161369577; 0.00692702618532; -0.181444718085; 0.0184744381211; -0.100068890564; -0.298759831112; 0.279329096299; 0.0392760292316; -0.452631491506; -0.104113784569; -0.037018793293; -0.162210377702; 0.0977123338342; 0.0942535305016; 0.0487883927281; -0.0196868048457; -0.133039732676; 0.064821874731; -0.0458385137982; -0.482313227953; -0.0270329537035; -0.0407241121874; 0.0967320353915; 0.0562094243594; -0.0870962488394; 0.249917543378; -0.175210192353; -0.344053823733; -0.464464760956; -0.0055795642725; -0.144084150821; 0.00120701988577; -0.00372969947387; -0.317665876994; 0.0703682865406; 0.102546654677; 0.240865746981; 0.0309564398105; 0.158331026638; -0.0255018194694; -0.0451036549817; 0.0987713638221; -0.0772850749082; 0.117793563865; -0.121785751084; -0.167356758371; -0.440536045915; -0.12059765888; -0.444273735593; -0.12475012182; 0.153083294923; 0.712795090831; 90.4872333585; -0.03836703036; 0.056070186025; -0.36673993006; 
161118_170430; 0.204866283449; 0.209145132405; 0.231332031931; 0.227713424368; 0.171282884006; 0.175983205449; 0.141922704601; 0.12795112835; 0.245706369663; 0.155212271955; 0.166268882279; 0.155574551055; 0.16873602015; 0.162436579671; 0.12219825295; 0.0915275255097; 0.271926096725; -0.0244885039341; 0.198173035314; 0.180420877253; 0.168974687331; 0.0552454855852; 0.23751379698; 0.196512110741; 0.195203698153; 0.11526004715; 0.0535826876239; 0.129595401661; 0.137114539687; 0.115543562257; 0.302110657847; 0.404068572352; 0.166493448093; 0.204888747672; 0.116344571544; 0.0219115232427; 0.288604883557; 0.154811417423; 0.0988855932523; 0.161253395425; 0.226161270842; 0.283495917157; 0.215423634421; 0.227950015446; 0.397798584733; 0.373762531475; 0.230047417354; 0.648314308259; 0.025886022074; 0.178314212038; 0.335744436324; 0.146872969902; 0.0626814953798; 0.12947372005; 0.184722569369; 0.141411511191; 0.126077864378; 0.2168464628; 0.269448044973; 0.212022053789; 0.151540064291; 0.240603377694; 0.417192942839; 0.069844654126; 0.216702911036; 0.182691843163; 0.222460068941; 0.0439540541425; 
161201_170430; 0.151991912536; 0.214125946393; 0.25693669171; 0.200668798661; 0.19201620893; 0.155413463799; 0.138040402389; 0.0768214158796; 0.251968464732; 0.782368469594; 0.179998311703; 0.17142079329; 0.18060840295; 0.19621528745; 0.135016839679; 0.098248498396; 0.257959038226; -0.0111346414358; 0.186765759606; 0.164730184134; 0.167385222986; 0.0178252238191; 0.245264243706; 0.204602563619; 0.186798639313; 0.136296498309; 0.082945474608; 0.13548882059; 0.190210804434; 0.113757845599; 0.288504619381; 0.329663052527; 0.149784424895; 0.205775630298; 0.136642864655; 0.0292301735238; 0.279543812237; 0.140631313683; 0.103009190466; 0.159721656448; 0.22036828415; 0.292744112199; 0.147647693161; 0.217099973448; 0.316805457235; 0.373115649617; 0.224965536533; 1.3196653026; 0.0525500992807; 0.17929796557; 0.264871612545; 0.11475449365; 0.0668277975881; 0.117964427724; 0.18030866721; 0.15128986988; 0.11878687686; 0.246172569241; 0.230800252; 0.179361780443; 0.178686318237; 0.21927069548; 0.417299653098; 0.11192033847; 0.178189509736; 0.190784380384; 0.203241366827; 0.0828793006673; 
