; Aerospace & Defense; Air Freight & Logistics; Airlines; Auto Components; Automobiles; Banks; Beverages; Biotechnology; Building Products; Capital Markets; Chemicals; Commercial Services & Supplies; Communications Equipment; Construction & Engineering; Construction Materials; Consumer Finance; Containers & Packaging; Distributors; Diversified Consumer Services; Diversified Financial Services; Diversified Telecommunication Services; Electric Utilities; Electrical Equipment; Electronic Equipment, Instruments & Components; Energy Equipment & Services; Equity Real Estate Investment Trusts (REITs); Food & Staples Retailing; Food Products; Gas Utilities; Health Care Equipment & Supplies; Health Care Providers & Services; Health Care Technology; Hotels, Restaurants & Leisure; Household Durables; Household Products; Independent Power and Renewable Electricity Producers; Industrial Conglomerates; Insurance; Internet & Direct Marketing Retail; Internet Software & Services; IT Services; Leisure Products; Life Sciences Tools & Services; Machinery; Marine; Media; Metals & Mining; Multiline Retail; NULL; Oil, Gas & Consumable Fuels; Paper & Forest Products; Personal Products; Pharmaceuticals; Professional Services; Real Estate Management & Development; Road & Rail; Semiconductors & Semiconductor Equipment; Software; Specialty Retail; Technology Hardware, Storage & Peripherals; Textiles, Apparel & Luxury Goods; Thrifts & Mortgage Finance; Tobacco; Trading Companies & Distributors; Transportation Infrastructure; Wireless Telecommunication Services; 
991018_000401; -0.24291316255; -0.156069061782; -0.1436781609; -0.105977988473; -0.103080000595; -0.0524319594539; -0.042741979368; 0; -0.150273761287; 0.873875102231; -0.0462924930322; -0.0409912792558; 0.0107756196973; -0.174304330428; -0.0785212528831; -0.165802672057; -0.106950461583; -0.154990517961; 0.109485750642; 0.0545453188091; 0.1829821971; -0.113885410893; 0.155861942328; 0.157770503447; -0.07486956523; 0; -0.158059321112; -0.108628189618; -0.126945650498; 0.042381705078; -0.111520994661; 0; -0.0817071207789; 0.00667007083262; -0.05295149915; 0; 0.039282461816; 0; -0.222713029055; 2.544512195; 0.434198493154; -0.161267712198; 3.840406504; -0.0459137378544; -0.0893468908656; 0.439387670395; -0.0083679347026; -0.0875538841029; -0.032744366932; -0.132211871437; -0.0865006316314; -0.125286935691; 0.0933255282841; 0.0216823614012; -0.0947472410013; -0.0491797276496; 0.252136404782; 0.634071689795; -0.140178513013; 0.119994160366; -0.141176331249; 0; -0.3626521298; -0.0842053565326; -0.155160265089; 0.766299081928; 
991018_991119; -0.12341426071; -0.031446270348; -0.06321839079; -0.0576455518935; -0.0311326847175; 0.034482816688; -0.040487084454; 0; -0.0667341041561; 0.0828349120383; -0.0210706349944; 0.0717649682449; 0.045817845845; -0.0626019671725; -0.0647773685119; -0.0381016031036; -0.0216482206317; -0.0219364718464; -0.0726887423317; 0.073676525934; 0.3043478261; 0.037414729578; -0.0252656380535; 0.0428080250009; 0.0535942029; 0; -0.0180937866627; -0.0373846540848; -0.0543850614067; 0.04379958192; 0.0282682612308; 0; 0.00727105224326; 0.0129582364141; 0.0383414321625; 0; 0.00798104182; 0; 0.0857441431925; 1.8969512195; 0.378652177549; 0.00114979595133; 0.4611111111; -0.041712573733; -0.0660643552506; 0.287671487981; -0.0982785621445; -0.011678760635; 0.01266981267; -0.07005529323; -0.0418544320914; 0.0435760195311; -0.0084341331463; -0.0234344542888; 0.00307381460087; -0.0232871969218; 0.126354493872; 0.345215492134; 0.0770325734764; 0.0502999771162; -0.0576159787124; 0; -0.1620689655; -0.0325098445174; -0.03835613818; 0.65550550565; 
991018_000306; -0.2458898367; -0.175912870914; -0.3189655172; -0.150706590606; -0.167008563201; -0.0817176461606; -0.063884021522; 0; -0.186834226172; 0.566044801614; -0.0855780393459; -0.069630733182; 0.0212150111488; -0.231733391853; -0.087450024465; -0.178933328565; -0.141689161236; -0.166713352058; 0.08239922068; 0.0253051255687; 0.07971014491; -0.1067006808; 0.114472096846; 0.132582403385; -0.219942029; 0; -0.166517845522; -0.132025721859; -0.172505774691; 0.033157915226; -0.0768848469754; 0; -0.127813501642; 0.0373063213398; -0.0558130321; 0; -0.003657389888; 0; -0.18120532895; 3.0329268295; 0.458953381936; -0.147632006197; 4.555555555; -0.0897243389918; -0.184031980058; 0.578143817773; -0.0572627215353; -0.173870324173; -0.10735263918; -0.152799713817; -0.229661192361; -0.123167333831; 0.0670729233004; -0.134381646795; -0.110341414783; -0.0797849322645; 0.243433016096; 0.809289670675; -0.143627485085; 0.128441434508; -0.18221305385; 0; -0.3836206897; -0.0979664172882; -0.217338107368; 0.968567989725; 
991119_000306; -0.1388888889; -0.14699850582; -0.273006135; -0.0989498795964; -0.144812640807; -0.108348596392; -0.0246732854; 0; -0.135102648122; 0.450202614695; -0.0617021903661; -0.130797281817; -0.0210588113363; -0.180900505784; 0.00660264246062; -0.140080052358; -0.121360117843; -0.150603266895; 0.15585364911; -0.058335359465; -0.1722222222; -0.136238369017; 0.132198626565; 0.0796950266109; -0.25562549175; 0; -0.152748022812; -0.0976255559174; -0.127134499006; -0.0410124771915; -0.102641715603; 0; -0.129665997305; 0.0150820562856; -0.098257336; 0; -0.006487786616; 0; -0.245345027725; 0.38202538205; 0.0747500225696; -0.143041084351; 2.802281369; -0.0554970239926; -0.125470346109; 0.212996844953; 0.0409569223229; -0.158409154836; -0.12201954385; -0.08646157134; -0.195615637571; -0.142857309549; 0.0762626050759; -0.102276090919; -0.113605220937; -0.0565905150686; 0.09334924906; 0.319087407509; -0.214983468596; 0.0762845854162; -0.132929279625; 0; -0.2644032922; -0.0802259330639; -0.182601651675; 0.19030229335; 
991018_001231; -0.29584282935; -0.27244111658; 0.1206896551; -0.0992881700177; -0.113224722646; -0.0616612082628; -0.166926241947; 0; -0.121328027521; -0.0858799437086; -0.0855638792522; -0.159318747618; -0.314773918025; -0.217434055395; -0.159919462965; -0.303089830547; -0.163651237135; -0.254243457074; -0.262278568389; -0.174900477761; -0.4013813999; 0.078018024256; 0.0890196699278; 0.00573816986198; -0.3004057971; 0; -0.230204906273; -0.133551649577; -0.0497770542025; -0.0197749538433; -0.295514913044; 0; -0.197390941858; -0.179731303262; -0.15366924565; 0; -0.104368905234; 0; -0.33812661481; -0.5857607785; -0.224350267825; -0.333821239822; 0.6190341394; -0.122057365815; -0.149718985181; -0.207167839102; -0.03265002821; -0.198353219531; -0.122255052966; -0.0664119952893; 0.0340895433743; -0.0975410545818; 0.221665708968; -0.2983623633; -0.103771258824; -0.0467174843379; -0.212821456645; -0.215681750956; -0.367794302936; -0.0213979377343; -0.200873671407; 0; -0.2285241964; -0.181932452537; -0.125672326145; -0.415940250588; 
000306_001231; -0.066260279705; -0.10522878371; 0.6455696202; 0.0745969606669; 0.0893134012942; 0.0298776289434; -0.079546862249; 0; 0.0657113790732; -0.371909714629; 0.0184222518321; -0.0761719460361; -0.323602060537; 0.0216822642649; -0.0834290303975; -0.156452946771; -0.0314404830715; -0.0940857862409; -0.278358495504; -0.175624128823; -0.4455747194; 0.208682993529; -0.0183267273419; -0.0684842548977; -0.10444063274; 0; -0.110219738058; -0.00467341935341; 0.162494660646; -0.0775568046795; -0.199670045921; 0; -0.0614411843434; -0.152587075089; -0.08355359295; 0; -0.089472322728; 0; -0.269133454911; -0.84627937905; -0.39412428516; -0.184786262473; -0.7085738549; 0.015507819852; 0.03554334538; -0.43102436815; 0.022792021099; -0.0187714976173; 0.02398957412; 0.122390051357; 0.363033816231; -0.0499962698127; 0.184007250734; -0.207212017305; 0.001641145702; 0.0411468974788; -0.318375809563; -0.479136341706; -0.238251915485; -0.145242764024; -0.0278113446983; 0; 0.2516250799; -0.0491584097539; 0.129004142699; -0.643126883; 
161118_170430; 0.26187168965; 0.138440364017; 0.0627318284667; 0.222063377905; 0.102717856295; 0.0936686659357; 0.124333948131; 0.0687434975032; 0.149596592218; 0.222908021175; 0.194822419479; 0.144157743059; 0.0629523899862; 0.125015317636; 0.223111158536; 0.0978034385138; 0.0861540333594; 0.146842887148; 0.223399988381; 0.144261337477; 0.375877383205; 0.138832066312; 0.191492446442; 0.227942598259; 0.169234272012; 0.00720316716696; 0.102227490061; 0.119670851392; 0.0285407437727; 0.133174845727; 0.178699848759; 0.242169519452; 0.0757607356131; 0.159295205164; 0.224534889675; 0.0089463197375; 0.0191537817333; 0.182715080978; 0.140472854761; 0.235127426053; 0.124474485223; 0.0630497106257; -0.0235113109618; 0.219295228838; 0.267728047627; 0.166137567018; 0.161768405917; 0.149275621251; 0; 0.167281759812; 0.122178179578; 0.227412592927; 0.103405510162; 0.262741054727; 0.11865344845; 0.123482886695; 0.351111497639; 0.16027174954; 0.0980861402381; 0.162929062491; 0.118661308751; 0.06765326749; -0.04612513486; 0.189041850045; 0.0626881693367; 0.0758857051033; 
161201_170430; 0.062931614025; 0.0617820252108; 0.0425544849033; 0.103893143773; 0.01616815217; 0.000219589171778; 0.0858828053955; -0.00156189375947; 0.0812496543497; 0.0306441994413; 0.121643829231; 0.0892415346939; 0.0118057311154; 0.0523392449113; 0.146385447553; -0.0414448460423; 0.04521655941; 0.107879696826; 0.174577569966; 0.048786988607; 0.337669031197; 0.072483312298; 0.106186546035; 0.131266456743; -0.0064635145025; -0.00680717164232; 0.0766833517525; 0.115207077345; -0.000886522018182; 0.089922296101; 0.104934570945; 0.250855696883; 0.0478245760199; 0.0784480219916; 0.201630814691; 0.0164065629075; -0.03626863292; 0.0445924839685; 0.104645397261; 0.211616956233; 0.0795953212709; 0.00221563352261; -0.0446677762336; 0.106258440446; 0.0848226150364; 0.136928369171; 0.039194595044; 0.0830275637086; 0; 0.0511116270423; 0.072635363013; 0.154821356772; 0.070837262489; 0.200830257586; 0.0288789770338; 0.0584558104841; 0.246603597095; 0.129283102551; 0.0485397367221; 0.0477932137557; 0.0531482408102; 0.00414972743; -0.04321993223; 0.104125129248; -0.0161718247678; 0.0485898424183; 
