; Internet Software & Services; Insurance; Wireless Telecommunication Services; Capital Markets; Semiconductors & Semiconductor Equipment; Automobiles; Oil, Gas & Consumable Fuels; Real Estate Management & Development; Hotels, Restaurants & Leisure; Industrial Conglomerates; Diversified Telecommunication Services; Banks; Food Products; Technology Hardware, Storage & Peripherals; Electronic Equipment, Instruments & Components; Electric Utilities; Gas Utilities; Electrical Equipment; Construction & Engineering; Metals & Mining; Textiles, Apparel & Luxury Goods; Health Care Providers & Services; Personal Products; Road & Rail; Water Utilities; Transportation Infrastructure; Software; Household Durables; Pharmaceuticals; Commercial Services & Supplies; Beverages; Independent Power and Renewable Electricity Producers; Media; Diversified Consumer Services; Auto Components; Specialty Retail; Paper & Forest Products; Life Sciences Tools & Services; Construction Materials; Airlines; Food & Staples Retailing; Communications Equipment; IT Services; Multiline Retail; Internet & Direct Marketing Retail; Aerospace & Defense; Air Freight & Logistics; Machinery; Containers & Packaging; Health Care Equipment & Supplies; NULL; Trading Companies & Distributors; Distributors; Biotechnology; Marine; Energy Equipment & Services; Diversified Financial Services; Building Products; Chemicals; Professional Services; Leisure Products; Household Products; Consumer Finance; Health Care Technology; Multi-Utilities; Thrifts & Mortgage Finance; 
991018_000401; 0.0401347177495; 0.045454576041; 1.74606218579; 0.713932693316; 0.586602033044; 0.295944883635; -0.0681886746392; 0.146867066253; 0.164604132939; 0.952489216728; 1.90662354605; -0.0694114402028; 0.0837202750375; 5.12211375193; 0.599102207056; -0.0158946236717; 1.05671785825; 0.315779470117; -0.0405936173325; -0.182138955262; 0.643207906179; 1.17883881769; -0.162790689236; -0.133896559473; 3.9910377165; 0.125820889577; 0.814685519942; 0.0705202051567; -0.301758251399; 0.439398495962; 0.0140195709892; -0.258885726691; 0.861563364029; -0.193484731669; 3.52126576175; 1.21398905031; 1.27903364638; 0; -0.156359980033; -0.191562027636; 2.07618870277; 1.02223744504; 2.65566100027; 0.114188480641; 0; 0.163636374475; 1.72440741366; -0.0678720531767; 1.16494386108; 0.308342386836; 0.725990473834; 1.07684611171; 0.518995764642; 0; -0.0128926056724; -0.190217289936; 0.659607604935; -0.226988626249; -0.148595258994; -0.0289854927493; 0.855542475568; -0.41818121353; 0.420130858039; 2.97500420714; -0.114503013824; 0.322580729832; 
991018_991119; -0.039240159901; 0.0227272880355; 0.414143985362; 0.0420190014072; 0.0416541314457; 0.163513773668; 0.00156886186748; 0.105059892635; 0.044752887766; 0.317771316567; 0.176146367825; 0.151716796226; 0.0133549936847; 0.675630155983; 0.0593710440108; 0.0256653917562; 0.126177600869; 0.0531706617721; 0.0042027648973; 0.0167465110892; 0.0854418940144; 0.323874562734; 0.0116279063555; -0.0083718077398; -0.0522117530017; 0.133204471079; 0.632418958019; -0.00337863341491; -0.0832555380157; 0.0272409807933; 0.190848225614; 0.0478498157322; 0.113728157912; -0.0252100872118; -0.0957443862631; 0.113445458745; -0.0998820609436; 0; 0.0717064834867; 0.174264877388; 0.0218323498454; 0.0770888861904; 0.0615577800906; 0.0266195128752; 0; 0.054545458135; 0.236220193587; 0.0517798821665; 0.039413710935; 0.0519197864828; 0.390756060816; 0.00900423763656; 0.0707640634069; 0; 0.155914571131; 0.209239018899; 0.00635494479433; -0.0182766554601; 0.258817681059; -0.173912956256; 0.16050631312; -0.0545453756699; -0.0131173372436; 0.0; 0.0487801212869; -0.0322580730132; 
991018_000306; 1.29229555371; -0.0075757626685; 2.17938482491; 0.813892253309; 0.568289426904; 0.172667850826; -0.0398010603338; 0.135911939028; 0.18444284181; 0.771852547767; 2.704885016; -0.0976494674658; -0.0100505954217; 6.66557722299; 0.611453188787; -0.120978777098; 1.99137775386; 0.342765906068; 0.0789167693943; -0.157959694924; 0.437535257132; 1.72144164418; -0.10232557608; -0.177035970301; 3.00262639069; 0.153873437024; 1.23312714247; 0.0929540368755; -0.266312598769; 1.03335827005; 0.0436964028625; -0.288462534116; 1.1318100262; -0.107342883234; 3.78722239045; 2.0763090417; 1.14777665091; 0; -0.00620927728133; -0.212032007806; 1.26216634287; 0.867102561815; 4.09447796278; 0.131533764391; 0; 0.272727290825; 3.34645274314; -0.0927736865815; 0.831817305528; 0.455081893033; 0.610255005818; 1.30364344156; 0.840673423739; 0; -0.154246550936; -0.282608545102; 0.627311123982; -0.198512853652; -0.0857074632269; 0.188405702585; 0.734149961788; -0.409090317575; 0.609774642819; 9.30001315174; 0.0299397595369; 0.301075347883; 
991119_000306; 1.38851679784; -0.0296296495708; 1.24827744408; 0.84833404153; 0.443234312658; 0.0207613909093; -0.0251888997837; 0.0423606786778; 0.0981652656057; 0.348620541534; 2.1201022262; -0.21811090221; -0.0343163758267; 3.33545558556; 0.574649296831; -0.142567642178; 1.78625506547; 0.257950208904; 0.0943630111818; -0.171787142133; 0.267689802284; 1.36992685031; -0.112643672244; -0.17137360697; 3.16284539592; 0.0721150048022; 0.723680843057; 0.0898988873727; -0.210432547915; 0.989748932155; -0.0948627014526; -0.306167378996; 0.919809539121; -0.0862243997318; 4.29410443487; 1.53090592782; 1.39907497436; 0; -0.1186294581; -0.326560333867; 1.2036107099; 0.726565036116; 3.75921451673; 0.100987516826; 0; 0.20689656555; 2.51592059743; -0.117653421823; 0.676870992585; 0.382607651614; 0.13357596886; 1.29605113815; 0.710200571917; 0; -0.24686459065; -0.406741356253; 0.643683411623; -0.184074295834; -0.235185591401; 0.438596271176; 0.572346951827; -0.374999457768; 0.629394794959; 9.30001315174; -0.0179640721461; 0.344444534875; 
991018_001231; -0.76650226486; -0.298247281216; 0.310893855795; 0.604418518229; 0.0288865922273; 0.241324609902; -0.0124456593628; 0.187102969443; 0.33415909459; 0.457542222065; -0.264196772753; 0.369101716772; 0.360157648207; 1.42451225513; 0.158209663165; 0.113974702409; 0.22054135704; -0.147782378621; -0.36183875874; -0.263902532577; 0.150792924393; -0.356619307747; -0.106791849867; 0.171598055836; -0.0296581386225; 0.1686479211; 0.204497145768; -0.345415928383; -0.321780428015; -0.125082249722; -0.0251213324468; 0.441803677916; -0.0114807396696; -0.426577451967; 0.276594893771; 0.271638743067; 1.36132376747; 0; -0.203653166677; 0.355420017757; 0.417662649332; -0.303970988114; 0.226982882632; 0.0210062401833; 0; -0.468474769534; -0.382676713722; -0.115355943703; 2.53811825106; 0.347956612272; 0.520593772335; -0.439135581064; -0.187143822721; -0.599997437223; -0.0121377382819; -0.150240695739; -0.337393431271; -0.0711157598137; -0.500898047357; -0.739130064012; 0.083724850525; -0.278523971467; -0.0640150141085; -0.320000452533; -0.459357373916; 0.0988554225363; 
000306_001231; -0.809578351006; -0.297810647099; -0.278464325409; 0.519977450864; -0.0147931135059; 0.247226926928; 0.00903351854178; 0.206516476613; 0.354103104639; -0.177369954874; -0.354258254138; 0.542255250827; 0.499570617292; -0.637783316118; -0.12257819217; 0.263130288194; -0.0773730189062; -0.23287178621; -0.381275932401; 0.0267332299004; -0.104321804541; -0.555400172662; -0.00583532063314; 0.209975493275; -0.484358503531; 0.242481238379; -0.0113654998905; -0.314850124053; -0.0915037525387; -0.230798221394; -0.0230936010985; 1.23654915533; -0.475092825905; -0.390247081493; -0.733331076982; -0.305241609057; 0.110971346426; 0; -0.0463636234721; 0.732370698364; -0.296722265464; -0.649996594647; -0.6396894383; -0.0800796067591; 0; -0.582373047404; -0.857970001828; -0.0266110498584; 0.499241267159; 0.0570218139774; -0.0544457807248; -0.686739371398; -0.27915681618; -0.599997437223; 0.238184961588; 0.184512759576; -0.56293271346; 0.184727650002; -0.260182430748; -0.780487413365; -0.186140803005; 0.220958431904; -0.414419051904; -0.933981903303; -0.475073545966; -0.155425231825; 
161118_170430; 0.182832354639; 0.104471306926; -0.0653449327775; -0.0309825837737; 0.0753845191972; 0.13280745846; 0.0362850409263; 0.161938651976; 0.199288901253; 0.0206686731248; 0.00774884733449; 0.0674098056402; 0.0683158273847; 0.104508114323; 0.347969058873; 0.058780590444; 0.0389507793991; 0.0329419156437; 0.119323596536; 0.180117188121; 0.0654340472031; 0.0134006635556; -0.00912231478148; 0.0376058212675; -0.00140216009018; 0.09575300203; 0.240633374172; 0.226876435874; 0.190000104534; 0.0862290035621; 0.111460884077; 0.0627472442726; -0.0432970442645; 0.261759490061; 0.110025294932; 0.285426248112; 0.218302387495; 0.0962829385572; 0.301115081289; 0.213645489462; 0.443370727286; 0.2480592993; 0.160032825072; 0.2337974349; -0.0713101918655; -0.0286133243039; 0.108437346761; 0.15211717329; 0.100923704192; 0.0733479507694; 0.483007760545; 0.120005153549; -0.0130362411784; 0.162519144849; 0.185017067937; -0.0403707559862; -0.0083416673029; 0.0388424006798; 0.206275777721; 0.110562993991; 0.0326847214347; -0.0290926071399; 0.124495489754; -0.266344202354; 0.314516134109; -0.0425835396913; 
161201_170430; 0.249463807971; 0.0454492824908; -0.0343970202915; -0.0632895612519; 0.108447072658; 0.132128175623; 0.0392309992022; 0.159017587745; 0.0940691566268; 0.00556999308651; 0.00848075156064; 0.0538681760246; 0.0324055893815; 0.118177896543; 0.33613350492; 0.0868909558551; 0.113023402925; -0.0226093454006; 0.0514408284733; 0.062363467882; 0.0779494558499; 0.0243342706513; -0.0585890119825; 0.139925898161; 0.085719151485; 0.123588867097; 0.213122691308; 0.19121183762; 0.183334785027; 0.0858586488959; 0.113950239115; 0.059931850846; -0.0606125137708; 0.316266762245; 0.115858244025; 0.26479619892; 0.136151364087; -0.109896873148; 0.297452570388; 0.192673822782; 0.159203094634; 0.174202615519; 0.18209628157; 0.232209294748; -0.0508475116772; -0.0483189065495; 0.0797016564583; 0.0485092738246; 0.0830540508259; 0.0294557642032; 0.485450004591; 0.0959727724491; 0.000763827304768; 0.171891484677; 0.073099604331; -0.118070413217; 0.0399686639172; 0.0583332666843; 0.169216219383; 0.122579711772; -0.0228951151275; 0.0312813151268; 0.166827780557; -0.280285431969; 0.167064441861; 0.0337692503934; 
