; Consumer Discretionary; Consumer Staples; Energy; Financials; Health Care; Industrials; Information Technology; Materials; NULL; Real Estate; Telecommunication Services; Utilities; 
991018_000401; 0.473499166804; 0.0875189475315; 0.236694270291; 0.629989016172; 0.895664752235; 0.330236825221; 1.28295401131; 0.337797825462; 0.217593847515; 0.477649300198; 1.15823259279; 0.283765937277; 
991018_991119; 0.0864727928093; 0.0451405071004; 0.255874996052; 0.104032695467; 0.113577320321; 0.0980278026513; 0.249171924454; 0.0640663812111; 0.022346822985; 0.0784153045063; 0.234379679007; 0.0529470571699; 
991018_000306; 0.574763750419; 0.103925532186; 0.215580443415; 0.666744162838; 1.12994598202; 0.343217963702; 1.8386548354; 0.381231779902; 0.296208559888; 0.64044496058; 1.68196446889; 0.262616992602; 
991119_000306; 0.412990125524; 0.0704364177481; 0.101596430662; 0.45269647988; 0.924042226287; 0.233976952044; 1.28581921017; 0.306807001199; 0.25412598735; 0.375198830853; 1.13806613667; 0.207196468105; 
991018_001231; 0.206964996838; 0.0670268039996; 0.326500216061; 0.4050142051; 0.586879795774; 5.82546414575; 0.249829808089; 0.224062814344; 0.282802721522; 0.345132047806; -0.000543291832833; 0.139654662184; 
000306_001231; -0.128291927271; 0.0222816804584; 0.142410965902; 0.0161848290663; -0.0783822178243; 5.64850388965; -0.343198573689; -0.0163623536513; 0.0309564398105; 0.110850881214; -0.436617810558; -0.0195349855373; 
161118_170430; 0.232901740043; 0.11335724886; 0.298637970801; 0.163955234104; 0.172550044196; 0.208064956635; 0.21562879188; 0.198034177675; 0.178314212038; 0.134173631244; 0.140932676149; 0.120467177525; 
161201_170430; 0.223559184112; 0.121002955889; 0.244052153016; 0.480026565012; 0.144052962613; 0.206665937307; 0.208908839926; 0.197501112128; 0.17929796557; 0.147140189264; 0.149679220215; 0.173600564233; 
