Name (or Code),RIC,Country,Market Capitalisation (million USD),adv(million USD),GICS Sector,GICS Industry,99/10/18-00/4/1,99/10/18-99/11/19,99/10/18-00/3/6,99/11/19-00/3/6,99/10/18-00/12/31,00/3/6-00/12/31,16/11/8-17/4/30,16/12/1-17/4/30
Tokyo Kohtetsu Co Ltd,5448.T^G16,Japan,104.3620789,0.003191668,Materials,Metals & Mining,-27.5,-25,-1.25,31.66666667,-25,-24.05063291,,
Fujii Sangyo Corp,9906.T,Japan,117.484892,0.025797816,Industrials,Trading Companies & Distributors,-19.04761905,-3.174603175,-12.85714286,-9.999999999,-36.50793651,-27.14025501,20.2020202,14.8245614
Nousouken Corp,3541.T,Japan,115.738187,1.612490693,Consumer Staples,Food & Staples Retailing,,,,,,,23.69477912,34.64480874
Kanda Holdings Co Ltd,9059.T,Japan,96.5536505,0.032642494,Industrials,Road & Rail,-23.44139651,-16.95760599,-30.17456359,-15.91591591,-30.26345028,-0.127298442,2.552719197,-0.3236246
Axyz Co Ltd,1381.T,Japan,131.0061643,0.109346715,Consumer Staples,Food Products,,,,,-7.578558226,-7.578558226,33.24795081,39.83870967
Nippon Steel & Sumikin Drum Co Ltd,5908.T^G07,Japan,NULL,0,NULL,NULL,-0.354300729,5.980066445,3.322259133,-2.507836994,0.655621902,-2.580893269,,
Voyage Group Inc,3688.T,Japan,259.8613378,8.115541617,Information Technology,Internet Software & Services,,,,,,,169.4475761,159.2190889
Naigai Trans Line Ltd,9384.T,Japan,107.4308258,0.145937533,Industrials,Marine,,,,,,,14.92032834,-0.837306199
Kawasaki Thermal Engineering Co Ltd,6414.T,Japan,100.3492334,0.00311244,Industrials,Building Products,-3.147699761,-2.905569007,-4.358353513,-1.496259354,4.116222756,8.860759491,5.555555556,5.32174E-10
Medical Ikkou Co Ltd,3353.T,Japan,129.3656415,0.006647461,Consumer Staples,Food & Staples Retailing,,,,,,,36.87794833,29.66074742
House Do Co Ltd,3457.T,Japan,138.0277235,0.560047014,Consumer Discretionary,Household Durables,,,,,,,45.28,27.08187544
KeePer Technical Laboratory Co Ltd,6036.T,Japan,117.3406867,0.252147365,Materials,Chemicals,,,,,,,25.10094212,10.58893515
Double Standard Inc,3925.T,Japan,110.1977047,0.631473497,Information Technology,IT Services,,,,,,,15.12345679,24.91627595
TS Alfresa Corp,7411.T^I05,Japan,NULL,0,NULL,NULL,-3.713782418,-3.846153846,-2.528721279,1.37012987,15.78069287,18.78441977,,
Japan Foundation Engineering Co Ltd,1914.T,Japan,95.97149467,0.10512005,Industrials,Construction & Engineering,-33.61792957,-7.684098186,-44.39701174,-39.76878613,-56.64580041,-22.02901148,1.166180757,1.759530791
Nakamoto Packs Co Ltd,7811.T,Japan,109.0826398,0.481847738,Industrials,Commercial Services & Supplies,,,,,,,19.09441385,5.336812804
Pion Co Ltd,2799.T^G14,Japan,102.3827057,0.265329196,Information Technology,"Electronic Equipment, Instruments & Components",,,,,,,,
Fujitsu Broad Solution & Consulting Inc,4793.T,Japan,110.0331749,0.032360644,Information Technology,Software,,,,,-64.56426966,-64.56426966,17.50901049,16.46910774
Kyowa Electronic Instruments Co Ltd,6853.T,Japan,117.4882059,0.162695278,Information Technology,"Electronic Equipment, Instruments & Components",-9.836679652,-10.9929078,-9.112476276,2.112676054,2.377384881,12.64184641,25.99032215,19.69080604
Ride on Express Co Ltd,6082.T,Japan,80.48976957,0.451196364,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,,,,,-18.0171592,-3.370786518
Daiwa Logistics Co Ltd,9054.Q^G06,Japan,NULL,0,NULL,NULL,,,,,,,,
BroadBand Tower Inc,3776.T,Japan,111.3879718,1.940991895,Information Technology,IT Services,,,,,,,13.75837555,6.680076628
BroadBand Tower Inc,37761.OJ^K05,Japan,111.3879718,0,Information Technology,IT Services,,,,,,,,
Toyo Logistics Co Ltd,9306.T,Japan,102.895514,0.339007364,Industrials,Commercial Services & Supplies,-8.445598518,,-18.18181818,-18.18181818,-25.5530696,-9.009307288,8.148148151,3.546099296
Allied Architects Inc,6081.T,Japan,180.7416883,9.870972131,Consumer Discretionary,Media,,,,,,,93.77682404,103.1953195
General Holdings Co Ltd,3890.OS^B09,Japan,NULL,0,Industrials,Commercial Services & Supplies,,,,,,,,
Agora Hospitality Group Co Ltd,9704.T,Japan,84.87011348,0.134793524,Consumer Discretionary,"Hotels, Restaurants & Leisure",-32.8125,-17.96875,-37.5,-23.80952381,-58.59375,-33.75,-5.555555555,-17.07317073
Seraku Co Ltd,6199.T,Japan,104.4742724,1.953741945,Information Technology,IT Services,,,,,,,15.70698467,17.22471523
CK San-Etsu Co Ltd,5757.NG,Japan,143.1058908,0.017234474,Materials,Metals & Mining,-9.333333336,-10.66666667,-14.66666667,-4.477611942,-7.333333339,8.593749995,47.78325123,33.7295691
I'rom Group Co Ltd,2372.T,Japan,123.0146298,1.622559538,Health Care,Health Care Providers & Services,,,,,,,24.71443406,-19.82643525
I'rom Group Co Ltd,23721.T^C05,Japan,123.0146298,0,Health Care,Health Care Providers & Services,,,,,,,,
Nittan Valve Co Ltd,6493.T,Japan,102.1132608,0.085947902,Consumer Discretionary,Auto Components,-14.08491383,-2.714932127,-16.74208145,-14.41860465,-19.68807162,-3.538390377,9.470752087,2.343749997
Hurxley Corp,7561.T,Japan,114.5701792,0.096434728,Consumer Discretionary,"Hotels, Restaurants & Leisure",-51.47099508,-15.76086956,-56.6576087,-48.5483871,-70.25613799,-31.3746632,22.51585623,15.43824701
Maruei Department Store Co Ltd,8245.T,Japan,148.4519739,0.678535703,Consumer Discretionary,Multiline Retail,-35.14691637,-8.282208589,-36.09137875,-30.32036613,-29.48014208,10.34482758,58.75,42.69662921
Planet Inc,2391.T,Japan,120.9045315,0.029925308,Information Technology,Software,,,,,,,25.41319424,5.390861892
Planet Inc,23911.Q^I05,Japan,120.9045315,0,Information Technology,Software,,,,,,,,
Japan Asia Group Ltd (pre-merger),4663.Q^B09,Japan,NULL,0,Information Technology,Internet Software & Services,,,,,,,,
Yamami Co,2820.T,Japan,98.04547207,0.050085998,Consumer Staples,Food Products,,,,,,,3.085526046,9.979780972
Showa Holdings Co Ltd,5103.T,Japan,113.7816475,0.808360667,Consumer Discretionary,Auto Components,34.40860215,-15.05376344,-18.27956989,-3.797468355,55.9139785,90.78947369,7.741935488,-37.21804511
Dear Life Co Ltd,3245.T,Japan,106.0452398,0.296152644,Real Estate,Real Estate Management & Development,,,,,,,13.47305389,3.835616441
Escrow Agent Japan Inc,6093.T,Japan,148.0495831,4.584191736,Industrials,Commercial Services & Supplies,,,,,,,58.83358932,41.81570474
Togami Electric Mfg Co Ltd,6643.T,Japan,129.627834,0.268872871,Industrials,Electrical Equipment,-13.73115578,-17.08542714,-25.12562814,-9.696969698,-25.82454608,-0.933454162,38.55421686,28.92376681
Hokko Chemical Industry Co Ltd,4992.T,Japan,128.5132594,0.221242871,Materials,Chemicals,37.77834008,-0.751879701,33.60323886,34.61538461,20.61470589,-9.721720135,40.60471112,28.15013405
Renown Inc,3606.T,Japan,130.8013329,27.33956997,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,,,,,39.80582524,29.72972973
OS Co Ltd,9637.T,Japan,97.69568726,0.019450021,Industrials,Industrial Conglomerates,-8.352668213,-0.232018561,-7.192575405,-6.976744186,-8.411774209,-1.313686711,6.310101299,5.492331289
TTK Co Ltd,1935.T,Japan,95.53920597,0.043562855,Industrials,Construction & Engineering,-26.02150538,-4.761904762,-23.80952381,-20,-46.42089094,-29.67741935,3.080082139,3.080082138
