; Aerospace & Defense; Air Freight & Logistics; Airlines; Auto Components; Automobiles; Banks; Beverages; Biotechnology; Building Products; Capital Markets; Chemicals; Commercial Services & Supplies; Communications Equipment; Construction & Engineering; Construction Materials; Consumer Finance; Containers & Packaging; Distributors; Diversified Consumer Services; Diversified Financial Services; Diversified Telecommunication Services; Electric Utilities; Electrical Equipment; Electronic Equipment, Instruments & Components; Energy Equipment & Services; Equity Real Estate Investment Trusts (REITs); Food & Staples Retailing; Food Products; Gas Utilities; Health Care Equipment & Supplies; Health Care Providers & Services; Health Care Technology; Hotels, Restaurants & Leisure; Household Durables; Household Products; Independent Power and Renewable Electricity Producers; Industrial Conglomerates; Insurance; Internet & Direct Marketing Retail; Internet Software & Services; IT Services; Leisure Products; Life Sciences Tools & Services; Machinery; Marine; Media; Metals & Mining; Mortgage Real Estate Investment Trusts (REITs); Multi-Utilities; Multiline Retail; NULL; Oil, Gas & Consumable Fuels; Paper & Forest Products; Personal Products; Pharmaceuticals; Professional Services; Real Estate Management & Development; Road & Rail; Semiconductors & Semiconductor Equipment; Software; Specialty Retail; Technology Hardware, Storage & Peripherals; Textiles, Apparel & Luxury Goods; Thrifts & Mortgage Finance; Tobacco; Trading Companies & Distributors; Transportation Infrastructure; Water Utilities; Wireless Telecommunication Services; 
991018_000401; 0.130798390658; 0.0792446936787; 0.187663658155; 0.199473127664; 0.152926922352; -0.0882235208989; 0.00600211711074; 2.54665132734; -0.06799720396; 0.592743953591; 0.130197243143; 0.10987125103; 1.55088452907; 0.290922973439; 0.0441018549062; 0.101114863614; -0.0760030080061; 0.00326338578714; 0.0876499497527; 0.0009181824525; 0.901935639323; -0.0442035844607; 0.631134832756; 1.32332256469; 0.480564766483; 0.057008526639; 0.106816642381; -0.037685464207; -0.0700621809493; 0.507320603048; 0.340686852003; 1.5365568527; 0.00570103290758; 0.0728570446843; -0.019310192185; 0.405186960913; 0.14943716152; 0.0311451398889; 0.047932852725; 0.631316406413; 0.598913841549; 0.433405718896; 0.803653814875; 0.195590157014; 0.17893939014; 0.233008815307; 0.0817494628527; 0.0573975621967; 0.00164684490957; -0.000233733128571; 0.2724758533; 0.335110914454; 0.146654527388; 0.0567476514037; 0.847616321101; 0.312923103549; 0.0650104757347; 0.170581154018; 1.72400296677; 1.59463095314; 0.12099625567; 1.52891650997; 0.0640755989288; -0.0852191778625; -0.28208210035; 0.513277380272; 0; 0.046938496565; 0.743568153928; 
991018_991119; 0.0237265376167; 0.0926438357675; 0.126752047316; -0.0336622230949; 0.0416970596808; 0.0320068681371; 0.0394895736011; 0.145070274315; -0.0107207604922; 0.195796199628; 0.0508587063722; 0.013079797169; 0.372989523354; 0.0315860967539; 0.0183939002687; 0.0526126007429; 0.0547106521518; -0.004636178812; 0.120139416724; 0.0532578077; 0.216869283475; -0.0122991471402; 0.0218121396786; 0.181024800576; 0.0889465780197; 0.0192918158861; 0.0563893469454; 0.032933396864; 0.023955402846; 0.116233172184; 0.0897445727609; 0.216786598579; 0.0162156433523; 0.0553992921785; 0.145823364469; 0.119160171628; 0.115925854101; 0.0695840902563; 0.0651102481437; 0.417612583313; 0.269056862113; 0.262787628849; 0.194423244079; 0.0437555139127; -0.03814533237; 0.153389180191; 0.0794358132406; 0.00146650554084; -0.00507953956304; 0.00749590687429; 0.0749132502798; 0.0464109140769; 0.0624535758667; -0.0522040729733; 0.141630312126; 0.110442832196; 0.0235073119746; 0.0697177133042; 0.364227880782; 0.365614789392; 0.0597381529473; 0.280327990311; 0.0431974752224; 0.0432618220187; -0.056981287445; 0.14302877852; 0; 0.0729506161042; 0.202270422369; 
991018_000306; 0.159168381144; 0.0681462404338; 0.044055458863; 0.199161754734; 0.0483757013283; -0.0979747047871; 0.0156566758433; 5.00953007837; -0.109905412012; 0.654487331973; 0.0173428016269; 0.0919650792548; 2.36298583178; 0.222490866341; -0.04338548022; 0.101258220995; -0.166985531782; 0.0781195138914; 0.0516149864804; -0.0877290834625; 1.24778870638; -0.100670788399; 0.829562806329; 1.82256913318; 0.357279544451; 0.0210275780392; 0.0844822682922; -0.0989714135748; -0.104446163948; 0.767625276477; 0.261107648839; 1.95427357008; -0.0332177864072; 0.00909323928024; 0.078342587656; 0.383985171139; 0.140694660467; -0.107993958546; 0.178656931589; 1.31235468905; 0.772018995788; 0.724960123814; 1.19619525959; 0.317438849729; 0.0796270978676; 0.244291990586; 0.057355260018; 0.07635037492; -0.0882119273926; -0.152085109354; 0.249372029276; 0.381025902486; 0.12683230956; 0.0505460065017; 1.31025587501; 0.357712963704; 0.0218266325282; 0.0549338858233; 2.02770753715; 1.98077507257; -0.01906726654; 2.37983069956; -0.0126385540547; -0.0756906143087; -0.30268670175; 0.299411176692; 0; 0.0191881175117; 1.12762418429; 
991119_000306; 0.12985605342; -0.0227177488337; -0.061321462794; 0.240240826906; 0.00452661835667; -0.122938192808; -0.0257137790781; 4.41453177523; -0.0973242324422; 0.403320011565; -0.0340606666051; 0.0798769874042; 1.34656545257; 0.176824635007; -0.06628838199; 0.0552054235936; -0.20206736476; 0.0797336162271; -0.0641134617487; -0.141226679535; 0.835492045253; -0.0905789502514; 0.815297135555; 1.40270668656; 0.250376492204; -0.00688679929429; 0.0409901924722; -0.12290115052; -0.126431378338; 0.622061663112; 0.192303833659; 1.49512878797; -0.0524748287264; -0.0457897504955; -0.0412421073864; 0.223329506801; 0.00917998937571; -0.156358877827; 0.0746652812333; 0.59702600003; 0.421315604085; 0.0609456773421; 0.879656949756; 0.209757358896; 0.12162180388; 0.0661711534731; 0.0266716576069; 0.0711539294244; -0.0925977101664; -0.160341516834; 0.111928773732; 0.331808697047; 0.0956268039933; 0.105402161779; 0.978772668017; 0.189604479113; -0.00519508932529; -0.0169690929754; 1.22599074779; 1.28252497552; -0.0782395963363; 1.02889019267; -0.0511029874988; -0.109098178977; -0.2523823925; 0.115171694287; 0; -0.0503632653258; 0.777407230961; 
991018_001231; 0.277140181097; 0.261187447532; 0.529360080701; -0.263919896952; -0.0104932343017; 0.0179709198552; 0.047140872217; 1.43078697917; -0.125921492467; 0.396552856066; 0.0108786780562; 0.150586584761; 0.382763493458; 0.265388480524; 0.0053992588725; 0.042329623155; -0.135832061733; -0.150114866661; 0.341725430393; 0.182173210213; -0.0349890055173; 0.292794224217; 0.249873084071; 0.396304867082; 0.724069600382; 0.229727809426; 0.342731443927; 0.0650053810385; 0.154717421568; 0.322390770214; 1.02374882458; 0.207945479597; 0.109438775133; 0.382938720828; -0.120112090224; 0.855185677719; 0.250376569967; 0.401585562482; -0.592621380609; -0.591357575585; 0.0832505854956; 0.0800490976263; 0.684806184519; 0.0340934058674; 0.45492391255; -0.0406561841768; -0.150306088693; 0.0183486565556; 0.316525095514; -0.122391619851; 0.125112565036; 0.451756440324; 0.0550731046912; -0.245039713059; 0.413457814569; 0.236673307418; 0.0452183251028; 0.171769255706; 0.427228508788; 0.151031222245; 0.0441594659969; 0.0801214691386; 0.0958985106314; 0.121004847323; 0.5470785628; 0.288012080987; 0.09465020576; 0.754470652686; -0.0766925585267; 
000306_001231; 0.300070510984; 0.135673888111; 0.504868090216; -0.238249596007; -0.0513134305783; 0.130555684089; 0.0781799979263; -0.463194560033; -0.0103340215979; 0.0459725730618; 0.0119340973402; 0.132525072105; -0.431674125481; 0.116984223772; 0.102195150497; 0.0207294990264; 0.00725108634889; -0.145469097236; 0.158457396235; 0.330385168354; -0.419704688126; 0.464204109911; -0.113327296014; -0.300396680854; 0.295409762212; 0.205169564603; 0.279128689087; 0.203520875748; 0.313053689911; -0.0893650606496; 0.83415469372; -0.506954502238; 0.203939502204; 0.396983070858; -0.101152006952; 0.454692846378; 0.15929539932; 0.601719765966; -0.686030069464; -0.748016859302; -0.295524945366; 0.0302284300414; -0.026847889893; 0.0582204340258; 0.33122077485; -0.155484159599; -0.169538208559; -0.0101066274956; 0.562987380125; -0.0140193025464; 0.0612248637709; 0.349011324553; -0.0387311890087; -0.235217004355; -0.0367909658698; -0.0553581228085; 0.0410191439667; 0.134410872382; -0.430562242553; -0.542842295009; 0.129160878075; -0.432700198212; 0.0971401898519; 0.226160363077; 1.23119208068; 0.0542317604087; 0.09465020576; 0.569239392094; -0.415475217149; 
161118_170430; 0.147048997027; 0.171132701484; 0.138795630691; 0.175404376843; 0.133869950329; 0.254910471362; 0.113706578043; 0.190848025364; 0.193007342267; 0.181410998213; 0.227753980143; 0.168396551829; 0.160995183296; 0.217225320281; 0.0839645894867; 0.132658403736; 0.124810525358; 0.032867154072; 0.315424916495; 0.158497971997; 0.188352501111; 0.0927393736735; 0.0941989696939; 0.222269304903; -0.0255368446755; 0.105727007457; 0.0480108391659; 0.080870500907; 0.181643169154; 0.105168329273; 0.157475113485; 0.159326456768; 0.207834204415; 0.14173125251; 0.221518073171; 0.0673774348981; 0.156701372753; 0.169326804628; 0.09290319458; 0.118840108585; 0.137460979386; 0.0501046363796; 0.151776718626; 0.247473993468; 0.347703132641; 0.146586995333; 0.0816093277418; 0.140415413238; 0.0778385784589; -0.0982382028047; 0.0313487369283; 0.0862095256802; 0.135909967678; 0.0548842777789; 0.168390253114; 0.166368195049; 0.208332737736; 0.0448522905779; 0.224834544177; 0.134788235225; 0.0286353673859; 0.168617378002; -0.030491090567; 0.186375344051; 0.133108161243; 0.370107320194; 0.44971919882; 0.19265670697; 0.131534574271; 
161201_170430; 0.00946563080268; 0.046003965715; 0.145539396241; 0.0636653276134; 0.081174717598; 0.0997106528923; 0.16223161128; 0.12640470101; 0.0731913328654; 0.0738599150848; 0.142993649016; 0.0629351960085; 0.103318342375; 0.00653585427143; 0.00142272588467; -0.0214446847379; 0.0934799780225; -0.016906139677; 0.179146579316; 0.100042506624; 0.195497537356; 0.15033579785; 0.0439187848978; 0.137325055668; -0.210029630182; 0.0867907898936; 0.0222448251341; 0.0869498625588; 0.145565805634; 0.0678207452265; 0.112386046818; 0.14323228945; 0.112542491056; 0.0792540251302; 0.189012907573; 0.11012027374; 0.116151965816; 0.0540025008279; 0.095668667908; 0.119549148; 0.0782780850908; -0.0278865160405; 0.14679904804; 0.0914646488467; 0.0627422549317; 0.0683905618171; -0.00640539825125; 0.128869144545; 0.116023053664; -0.203887974791; 0.0255523809993; -0.0468768590574; 0.00800718894308; 0.0326654185485; 0.135510636068; 0.0771958958413; 0.176487983894; -0.0710579590948; 0.219376784129; 0.122148629272; -0.0819767296819; 0.140512197498; -0.0617369003498; 0.0779258553124; 0.215336402788; 0.15069955711; 0.131163818744; 0.097717246424; 0.139553350964; 
