; Consumer Discretionary; Telecommunication Services; Consumer Staples; Financials; Information Technology; Industrials; Health Care; Materials; Real Estate; Energy; Utilities; NULL; 
991018_000401; 0.196199233894; 0.673551650515; -0.122750781084; 0.222698819054; 0.637532961081; 0.0596374331445; 0.224752242954; 0.0300909374571; 0.0144568181041; -0.216432085485; -0.123955026691; -0.139582137154; 
991018_991119; 0.0836284439107; 0.478526697416; -0.0252025628318; 0.109883895201; 0.289437371016; 0.0259510088371; 0.0236220559923; -0.029750319156; -0.0304802645697; -0.0651799489059; 0.03019948988; -0.0125966572129; 
991018_000306; 0.107264264929; 0.830864989338; -0.157905267295; 0.17080243693; 0.58008504036; 0.00681604587664; 0.138780320669; -0.0290041156383; -0.0671506084736; -0.253182210715; -0.149572572007; -0.229329326047; 
991119_000306; 0.013813305365; 0.199675624353; -0.138041586111; 0.0536165272555; 0.212112340297; -0.0272623968461; 0.107578543247; 0.0034907537679; -0.0365097246666; -0.199618471963; -0.174770630955; -0.22576538741; 
991018_001231; -0.0174935642288; -0.375995314408; -0.0771759228076; -0.022489897546; 0.0981441645409; 0.0268316376014; 0.316250863718; 0.0132997300907; 0.16209066387; -0.109264956229; 0.133407675617; -0.14843172698; 
000306_001231; -0.0656707937684; -0.576137244318; 0.113878276541; -0.107450682543; -0.237394982055; 0.0677162509847; 0.182584048945; 0.0788780641115; 0.246257731846; 0.209031503034; 0.34736077254; 0.127086375958; 
161118_170430; 0.129066950447; 0.114461488177; 0.0901878747289; 0.176971370465; 0.199787127567; 0.149102968987; 0.106148150363; 0.190895433436; 0.0440820456448; 0.228887969133; 0.132872513763; 0; 
161201_170430; 0.0432354323843; 0.0737044587134; 0.0750724119961; 0.00432618851317; 0.113205859542; 0.0572994955645; 0.0693598664725; 0.0977505810945; -0.0244903302568; 0.0456128893901; 0.0669534092628; 0; 
