; Energy; Financials; Consumer Staples; Information Technology; Health Care; Industrials; NULL; Materials; Telecommunication Services; Consumer Discretionary; Utilities; Real Estate; 
991018_000401; 0.220181073216; 0.247713832214; -0.068155474695; 0.892600020994; 0.148363431211; 0.280221787343; 0.18115804548; 0.11440975205; 0.640976384237; 0.357024301606; 0.11090984526; 0.156228299727; 
991018_991119; 0.242589974948; 0.159067100613; -0.00857832793092; 0.220203365591; 0.0576847802575; 0.0999377156575; 0.146280930583; 0.113852369688; 0.196893133915; 0.10414607263; 0.0260471109695; 0.0614181306852; 
991018_000306; 0.114317739537; 0.214693820799; -0.0812860467924; 0.970920598534; 0.107097480318; 0.259776190154; 0.0942036353085; 0.0746650418597; 0.863292011315; 0.351749831608; 0.102242439951; 0.235399926933; 
991119_000306; -0.0413685733346; 0.0601781144861; -0.0752355886935; 0.597612064576; 0.0386867640597; 0.130098283071; -0.0406908165986; -0.0350441335147; 0.52240116914; 0.199827994304; 0.0748825194618; 0.0792674740371; 
991018_001231; 0.331042520642; 0.434304370766; 0.30426763412; 0.116089582013; 0.487193311076; 2.98052214843; 0.299222891558; 0.212366580303; -0.0087557919761; 0.157649855712; 0.132822342485; 0.14564110177; 
000306_001231; 0.220254768711; 0.286164258939; 0.466179824686; -0.364448266965; 0.369785560639; 2.88691384533; 0.20169450877; 0.155955099189; -0.327867074952; -0.0441154584382; 0.0743051833406; 0.120954519299; 
161118_170430; 0.0784091212144; 0.20396932123; 0.12367823272; 0.28397331793; 0.179471151212; 0.254155297744; 0.982568497157; 0.158267778316; 0.0876826769265; 0.216242811313; 0.0843591993717; 0.11985260043; 
161201_170430; 0.0183305143856; 0.168016506263; 0.186015426049; 0.264271487178; 0.183758479981; 0.225096233998; 0.495880209913; 0.111602990098; 0.121828178897; 0.212842306243; 0.131171049943; 0.148128172503; 
