002270.SZ, Updated at 2016-09-30
002358.SZ, Updated at 2016-09-30
002387.SZ, Updated at 2016-09-30
002423.SZ, Updated at 2016-09-30
035510.KS, Updated at 2016-09-30
058430.KS, Updated at 2016-09-30
089030.KQ, Updated at 2016-09-30
2016.HK, Updated at 2016-06-30
2437.T, Updated at 2016-08-31
2484.T, Updated at 2016-08-31
2791.T, Updated at 2016-08-31
2798.T, Updated at 2016-08-31
2872.T, Updated at 2016-08-31
300498.SZ, Updated at 2016-09-30
3048.T, Updated at 2016-08-31
3065.T, Updated at 2016-08-31
3091.T, Updated at 2016-09-30
3093.T, Updated at 2016-08-31
3177.T, Updated at 2016-08-31
3192.T, Updated at 2016-08-31
3266.T, Updated at 2016-08-31
3366.T, Updated at 2016-08-31
3376.T, Updated at 2016-08-31
3387.T, Updated at 2016-08-31
3593.T, Updated at 2016-09-30
3647.T, Updated at 2016-08-31
3669.T, Updated at 2016-08-31
3760.T, Updated at 2016-08-31
3824.FU, Updated at 2016-08-31
3832.T, Updated at 2016-08-31
3922.T, Updated at 2016-08-31
3935.T, Updated at 2016-08-31
3JJ.BB, Updated at 2016-09-30
4317.T, Updated at 2016-08-31
4616.T, Updated at 2016-08-31
4995.FU, Updated at 2016-08-31
4IZ.BB, Updated at 2016-09-30
5967.T, Updated at 2016-08-31
600141.SS, Updated at 2016-09-30
6086.T, Updated at 2016-08-31
6142.NG, Updated at 2016-08-31
6173.T, Updated at 2016-08-31
6182.T, Updated at 2016-08-31
6199.T, Updated at 2016-08-31
6897.T, Updated at 2016-08-31
6899.HK, Updated at 2016-06-30
6915.T, Updated at 2016-08-31
6AD.BB, Updated at 2016-09-30
7544.T, Updated at 2016-08-31
7599.T, Updated at 2016-08-31
7607.T, Updated at 2016-08-31
7610.T, Updated at 2016-08-31
8095.T, Updated at 2016-08-31
8181.T, Updated at 2016-08-31
8237.T, Updated at 2016-08-31
8244.T, Updated at 2016-08-31
8247.T, Updated at 2016-08-31
8254.T, Updated at 2016-08-31
8256.HK, Updated at 2016-08-31
8887.T, Updated at 2016-08-31
8894.T, Updated at 2016-08-31
8908.T, Updated at 2016-08-31
8918.T, Updated at 2016-08-31
9661.T, Updated at 2016-08-31
9740.T, Updated at 2016-08-31
9765.T, Updated at 2016-08-31
9812.T, Updated at 2016-08-31
9836.T, Updated at 2016-08-31
9924.NG, Updated at 2016-08-31
AAHG.F, Updated at 2016-08-31
ADOC.PA, Updated at 2016-09-30
AIX.V, Updated at 2016-07-31
ALLOG.PA, Updated at 2016-09-30
ARTW.O, Updated at 2016-08-31
ATLA.KL, Updated at 2016-08-31
BAR.TO, Updated at 2016-06-30
BVO.V, Updated at 2016-06-30
CHWO.SI, Updated at 2016-08-31
CREADa.ST, Updated at 2016-09-30
CSSr.AT, Updated at 2016-06-30
CST.V, Updated at 2016-06-30
CZQ.TO, Updated at 2016-08-31
DRUr.AT, Updated at 2016-06-30
DSKX.O, Updated at 2016-06-30
EDRr.AT, Updated at 2016-06-30
ENZ, Updated at 2016-07-31
ERCr.AT, Updated at 2016-06-30
ESK.V, Updated at 2016-08-31
EXF.TO, Updated at 2016-08-31
FNCX.O, Updated at 2016-06-30
FRC, Updated at 2016-09-30
FRC_pa, Updated at 2016-09-30
FRC_pc, Updated at 2016-09-30
FRC_pd, Updated at 2016-09-30
FRC_pe, Updated at 2016-09-30
FRC_pf, Updated at 2016-09-30
FRC_pg, Updated at 2016-09-30
GKEC.SI, Updated at 2016-08-31
GLOG.BR, Updated at 2016-09-30
GTT.PA, Updated at 2016-09-30
HRGV.L, Updated at 2016-09-30
IBIO.K, Updated at 2016-06-30
IMPL.PA, Updated at 2016-09-30
IN.CD, Updated at 2016-06-30
INEA.PA, Updated at 2016-09-30
KAHL.ST, Updated at 2016-08-31
KRTr.AT, Updated at 2016-06-30
KYRr.AT, Updated at 2016-06-30
LIBG.SI, Updated at 2016-08-31
LIVr.AT, Updated at 2016-06-30
MAW.TO, Updated at 2016-08-31
MRV.AT, Updated at 2016-06-30
MYCC.K, Updated at 2016-09-06
PAIr.AT, Updated at 2016-06-30
PDO.CD, Updated at 2016-08-31
PGR, Updated at 2016-09-30
PRFr.AT, Updated at 2016-06-30
QANC.QA, Updated at 2016-09-30
REED.K, Updated at 2016-09-30
SAR, Updated at 2016-08-31
SKY, Updated at 2016-08-31
SREE.NS, Updated at 2016-06-30
STER.BO, Updated at 2016-06-30
SVCE.CA, Updated at 2016-06-30
SXI.TO, Updated at 2016-06-30
TASr.AT, Updated at 2016-06-30
UL, Updated at 2016-09-30
ULVR.L, Updated at 2016-09-30
UN, Updated at 2016-09-30
UNc.AS, Updated at 2016-09-30
UNIA.AS, Updated at 2016-09-30
VAC, Updated at 2016-09-09
WIN.PS, Updated at 2016-09-30
WINA.O, Updated at 2016-09-24
WINO.BO, Updated at 2016-06-30
XYLr.AT, Updated at 2016-06-30
