000002.SZ, Updated at 2016-09-30
000009.SZ, Updated at 2016-09-30
000012.SZ, Updated at 2016-09-30
000022.SZ, Updated at 2016-09-30
000025.SZ, Updated at 2016-09-30
000027.SZ, Updated at 2016-09-30
000029.SZ, Updated at 2016-09-30
000034.SZ, Updated at 2016-09-30
000039.SZ, Updated at 2016-09-30
000043.SZ, Updated at 2016-09-30
000045.SZ, Updated at 2016-09-30
000050.SZ, Updated at 2016-09-30
000056.SZ, Updated at 2016-09-30
000060.SZ, Updated at 2016-09-30
000065.SZ, Updated at 2016-09-30
000096.SZ, Updated at 2016-09-30
000153.SZ, Updated at 2016-09-30
000156.SZ, Updated at 2016-09-30
000159.SZ, Updated at 2016-09-30
000166.SZ, Updated at 2016-09-30
000210.KS, Updated at 2016-09-30
000270.KS, Updated at 2016-09-30
000338.SZ, Updated at 2016-09-30
000400.SZ, Updated at 2016-09-30
000402.SZ, Updated at 2016-09-30
000403.SZ, Updated at 2016-09-30
000407.SZ, Updated at 2016-09-30
000419.SZ, Updated at 2016-09-30
000420.SZ, Updated at 2016-09-30
000421.SZ, Updated at 2016-09-30
000429.SZ, Updated at 2016-09-30
000430.SZ, Updated at 2016-09-30
000516.SZ, Updated at 2016-09-30
000518.SZ, Updated at 2016-09-30
000526.SZ, Updated at 2016-09-30
000529.SZ, Updated at 2016-09-30
000531.SZ, Updated at 2016-09-30
000532.SZ, Updated at 2016-09-30
000538.SZ, Updated at 2016-09-30
000543.SZ, Updated at 2016-09-30
000544.SZ, Updated at 2016-09-30
000547.SZ, Updated at 2016-09-30
000554.SZ, Updated at 2016-09-30
000558.SZ, Updated at 2016-09-30
000561.SZ, Updated at 2016-09-30
000565.SZ, Updated at 2016-09-30
000570.SZ, Updated at 2016-09-30
000571.SZ, Updated at 2016-09-30
000582.SZ, Updated at 2016-09-30
000584.SZ, Updated at 2016-09-30
000587.SZ, Updated at 2016-09-30
000605.SZ, Updated at 2016-09-30
000607.SZ, Updated at 2016-09-30
000608.SZ, Updated at 2016-09-30
000610.SZ, Updated at 2016-09-30
000632.SZ, Updated at 2016-09-30
000639.SZ, Updated at 2016-09-30
000650.SZ, Updated at 2016-09-30
000657.SZ, Updated at 2016-09-30
000659.SZ, Updated at 2016-09-30
000660.KS, Updated at 2016-09-30
000665.SZ, Updated at 2016-09-30
000669.SZ, Updated at 2016-09-30
000673.SZ, Updated at 2016-09-30
000678.SZ, Updated at 2016-09-30
000681.SZ, Updated at 2016-09-30
000690.SZ, Updated at 2016-09-30
000691.SZ, Updated at 2016-09-30
000695.SZ, Updated at 2016-09-30
000718.SZ, Updated at 2016-09-30
000720.KS, Updated at 2016-09-30
000720.SZ, Updated at 2016-09-30
000726.SZ, Updated at 2016-09-30
000727.SZ, Updated at 2016-09-30
000729.SZ, Updated at 2016-09-30
000733.SZ, Updated at 2016-09-30
000739.SZ, Updated at 2016-09-30
000750.SZ, Updated at 2016-09-30
000752.SZ, Updated at 2016-09-30
000756.SZ, Updated at 2016-09-30
000761.SZ, Updated at 2016-09-30
000780.SZ, Updated at 2016-09-30
000786.SZ, Updated at 2016-09-30
000792.SZ, Updated at 2016-09-30
000793.SZ, Updated at 2016-09-30
000795.SZ, Updated at 2016-09-30
000806.SZ, Updated at 2016-09-30
000836.SZ, Updated at 2016-09-30
000839.SZ, Updated at 2016-09-30
000851.SZ, Updated at 2016-09-30
000858.SZ, Updated at 2016-09-30
000869.SZ, Updated at 2016-09-30
000875.SZ, Updated at 2016-09-30
000878.SZ, Updated at 2016-09-30
000880.SZ, Updated at 2016-09-30
000883.SZ, Updated at 2016-09-30
000886.SZ, Updated at 2016-09-30
000897.SZ, Updated at 2016-09-30
000899.SZ, Updated at 2016-09-30
000908.SZ, Updated at 2016-09-30
000910.SZ, Updated at 2016-09-30
000912.SZ, Updated at 2016-09-30
000915.SZ, Updated at 2016-09-30
000918.SZ, Updated at 2016-09-30
000925.SZ, Updated at 2016-09-30
000935.SZ, Updated at 2016-09-30
000936.SZ, Updated at 2016-09-30
000938.SZ, Updated at 2016-09-30
000948.SZ, Updated at 2016-09-30
000960.SZ, Updated at 2016-09-30
000968.SZ, Updated at 2016-09-30
000969.SZ, Updated at 2016-09-30
000970.SZ, Updated at 2016-09-30
000976.SZ, Updated at 2016-09-30
000987.SZ, Updated at 2016-09-30
000998.SZ, Updated at 2016-09-30
001120.KS, Updated at 2016-09-30
001880.KS, Updated at 2016-09-30
001896.SZ, Updated at 2016-09-30
002001.SZ, Updated at 2016-09-30
002005.SZ, Updated at 2016-09-30
002006.SZ, Updated at 2016-09-30
002012.SZ, Updated at 2016-09-30
002016.SZ, Updated at 2016-09-30
002022.SZ, Updated at 2016-09-30
002031.SZ, Updated at 2016-09-30
002041.SZ, Updated at 2016-09-30
002045.SZ, Updated at 2016-09-30
002048.SZ, Updated at 2016-09-30
002054.SZ, Updated at 2016-09-30
002060.SZ, Updated at 2016-09-30
002062.SZ, Updated at 2016-09-30
002078.SZ, Updated at 2016-09-30
002079.SZ, Updated at 2016-09-30
002084.SZ, Updated at 2016-09-30
002098.SZ, Updated at 2016-09-30
002099.SZ, Updated at 2016-09-30
002100.SZ, Updated at 2016-09-30
002110.SZ, Updated at 2016-09-30
002111.SZ, Updated at 2016-09-30
002115.SZ, Updated at 2016-09-30
