DWI.TO, Updated at 2016-08-31
EBAB.BR, Updated at 2016-09-30
EDEN.PA, Updated at 2016-09-30
EDFM.CA, Updated at 2016-06-30
EDUC.O, Updated at 2016-08-31
EIB.DU, Updated at 2016-09-30
EKTR3.SA, Updated at 2016-09-30
EKTR4.SA, Updated at 2016-09-30
ELEC.O, Updated at 2016-08-31
ELECU.O, Updated at 2016-08-31
ELSRr.AT, Updated at 2016-06-30
EMDr.AT, Updated at 2016-06-30
EPED.PA, Updated at 2016-09-30
ETGM.PA, Updated at 2016-09-30
FAGRO.BR, Updated at 2016-09-30
FHN, Updated at 2016-09-30
FHN_pa, Updated at 2016-09-30
FKSh.V, Updated at 2016-08-31
GCL.TO, Updated at 2016-09-03
GKE.AT, Updated at 2016-06-30
GSW.V, Updated at 2016-05-31
GTBO.JK, Updated at 2016-03-31
HCSG.O, Updated at 2016-09-30
HFAr.AT, Updated at 2016-06-30
HFCO.PA, Updated at 2016-09-30
HLPu.TO, Updated at 2016-06-30
I.TO, Updated at 2016-08-31
IDEL.BO, Updated at 2016-03-31
INBK.NS, Updated at 2016-09-30
INFY.K, Updated at 2016-09-30
INFY.NS, Updated at 2016-09-30
JPM, Updated at 2016-09-30
JPMC34.SA, Updated at 2016-09-30
JPM_pa, Updated at 2016-09-30
JPM_pb, Updated at 2016-09-30
JPM_pd, Updated at 2016-09-30
JPM_pe, Updated at 2016-09-30
JPM_pf, Updated at 2016-09-30
JPM_pg, Updated at 2016-09-30
JPM_ph, Updated at 2016-09-30
KMG, Updated at 2016-07-31
KOGK.MM, Updated at 2016-09-30
KOR.TO, Updated at 2016-08-31
LII, Updated at 2016-09-30
LNN, Updated at 2016-08-31
MANGS.ST, Updated at 2016-09-30
MGW.V, Updated at 2016-06-30
MKEX.BO, Updated at 2016-06-30
MLNK.O, Updated at 2016-07-31
NB.TO, Updated at 2016-06-30
NCIN.CA, Updated at 2015-12-31
NEFI.NS, Updated at 2016-09-30
NILb.ST, Updated at 2016-09-30
OACQ.O, Updated at 2016-08-31
OACQU.O, Updated at 2016-08-31
OMI.TO, Updated at 2016-08-31
ONCS.O, Updated at 2016-07-31
ORPF.PA, Updated at 2016-09-30
OSSP.BO, Updated at 2016-06-30
PNC, Updated at 2016-09-30
PNC_pp, Updated at 2016-09-30
PNC_pq, Updated at 2016-09-30
PPTL.NS, Updated at 2016-06-30
PZG, Updated at 2016-06-30
QGTS.QA, Updated at 2016-09-30
RADP.PA, Updated at 2016-09-30
RANI3.SA, Updated at 2016-09-30
RANI4.SA, Updated at 2016-09-30
RCIa.TO, Updated at 2016-09-30
RCIb.TO, Updated at 2016-09-30
RDI.TO, Updated at 2016-08-31
REII.NS, Updated at 2016-09-30
RRH.BB, Updated at 2016-09-30
SIB.AD, Updated at 2016-09-30
SIMA.JK, Updated at 2015-12-31
SOWG.DE, Updated at 2016-09-30
SPRM.SI, Updated at 2016-08-31
SURA.NS, Updated at 2015-03-31
TAKA.KL, Updated at 2016-09-30
TAYD.O, Updated at 2016-08-31
TCS.NS, Updated at 2016-09-30
THHG.PA, Updated at 2016-09-30
TLMJ.J, Updated at 2016-06-30
TOE.V, Updated at 2016-06-30
TRIB.O, Updated at 2016-06-30
TVDGk.F, Updated at 2016-06-30
TVEB.NS, Updated at 2016-09-30
UAL, Updated at 2016-09-30
UEC, Updated at 2016-07-31
ULTC.NS, Updated at 2016-09-30
UNB.AD, Updated at 2016-09-30
UNKL.MM, Updated at 2016-09-30
VIRB.PA, Updated at 2016-09-30
VLN.TO, Updated at 2016-08-31
WFC, Updated at 2016-09-30
WFCO34.SA, Updated at 2016-09-30
WFC_pj, Updated at 2016-09-30
WFC_pn, Updated at 2016-09-30
WFC_po, Updated at 2016-09-30
WFC_pp, Updated at 2016-09-30
WFC_pq, Updated at 2016-09-30
WFC_pr, Updated at 2016-09-30
WFC_pt, Updated at 2016-09-30
WFC_pv, Updated at 2016-09-30
WFC_pw, Updated at 2016-09-30
WFC_px, Updated at 2016-09-30
WL6G.DE, Updated at 2016-08-31
WMR.V, Updated at 2016-05-31
XTLB.O, Updated at 2016-06-30
