HNH.O, Updated at 2016-09-30
HRS, Updated at 2016-09-30
HRZN.O, Updated at 2016-09-30
HSKA.O, Updated at 2016-09-30
HTGR.NS, Updated at 2016-09-30
HWAY.O, Updated at 2016-09-30
HY, Updated at 2016-09-30
HYQGn.DE, Updated at 2016-09-30
HZN, Updated at 2016-09-30
HZO, Updated at 2016-09-30
IAN.SN, Updated at 2016-09-30
ICE, Updated at 2016-09-30
ICP.TO, Updated at 2016-09-30
IDXX.O, Updated at 2016-09-30
IFBA.NS, Updated at 2016-09-30
IFMI.K, Updated at 2016-09-30
IISL.BO, Updated at 2016-03-31
INCY.O, Updated at 2016-09-30
INGEALB.MX, Updated at 2016-09-30
INM.AX, Updated at 2016-09-30
INRL.NS, Updated at 2016-09-30
INST.K, Updated at 2016-09-30
INTP.JK, Updated at 2016-09-30
IPHI.K, Updated at 2016-09-30
IRM, Updated at 2016-09-30
IVAC.O, Updated at 2016-10-01
IZO.WA, Updated at 2016-09-30
JIVE.O, Updated at 2016-09-30
JKON.JK, Updated at 2016-09-30
JYOI.NS, Updated at 2016-09-30
KAI, Updated at 2016-10-01
KBR, Updated at 2016-09-30
KEG_u.TO, Updated at 2016-09-30
KEM, Updated at 2016-09-30
KENT.IS, Updated at 2016-09-30
KFRC.O, Updated at 2016-09-30
KGX.DE, Updated at 2016-09-30
KLBF.JK, Updated at 2016-09-30
KLE.V, Updated at 2016-08-31
KRFI.BO, Updated at 2016-09-30
KS, Updated at 2016-09-30
KTCC.O, Updated at 2016-10-01
L3C.PA, Updated at 2016-09-30
LAE.LM, Updated at 2016-09-30
LAMOSA.MX, Updated at 2016-09-30
LIDFA.IS, Updated at 2016-09-30
LKCSq.L, Updated at 2016-09-30
LNTH.O, Updated at 2016-09-30
LOCK.K, Updated at 2016-09-30
LXRX.O, Updated at 2016-09-30
LYB, Updated at 2016-09-30
MAHL.BO, Updated at 2016-09-30
MBUU.O, Updated at 2016-09-30
MCRN.K, Updated at 2016-09-30
MDC, Updated at 2016-09-30
MDIA3.SA, Updated at 2016-09-30
MEAp.V, Updated at 2016-08-31
MEGA.JK, Updated at 2016-09-30
METRO.IS, Updated at 2016-09-30
MFSF.O, Updated at 2016-09-30
MGL.AX, Updated at 2016-09-30
MGRC.O, Updated at 2016-09-30
MICi.LM, Updated at 2016-09-30
MINSAB.MX, Updated at 2016-09-30
MKPI.JK, Updated at 2016-09-30
MLBI.JK, Updated at 2016-09-30
MMJ.CD, Updated at 2016-06-30
MNCN.JK, Updated at 2016-09-30
MOS, Updated at 2016-09-30
MSEX.O, Updated at 2016-09-30
MSM, Updated at 2016-09-03
MSTL.BO, Updated at 2016-06-30
MULT3.SA, Updated at 2016-09-30
MXWL.O, Updated at 2016-09-30
MYG.LM, Updated at 2016-09-30
NC, Updated at 2016-09-30
NCCa.ST, Updated at 2016-09-30
NCCb.ST, Updated at 2016-09-30
NEE, Updated at 2016-09-30
NEE_pp, Updated at 2016-09-30
NEE_pq, Updated at 2016-09-30
NET.V, Updated at 2016-08-31
NFX, Updated at 2016-09-30
NI, Updated at 2016-09-30
NMIH.O, Updated at 2016-09-30
NSP, Updated at 2016-09-30
NTLA.O, Updated at 2016-09-30
NYMT.O, Updated at 2016-09-30
OGDCq.L, Updated at 2016-09-30
OMED.O, Updated at 2016-09-30
ONB.O, Updated at 2016-09-30
OREG.CA, Updated at 2016-09-30
OXFD.O, Updated at 2016-09-30
OXY, Updated at 2016-09-30
OYLUM.IS, Updated at 2016-09-30
PBFX.K, Updated at 2016-09-30
PBI, Updated at 2016-09-30
PCEN.SI, Updated at 2016-09-30
PCS.LM, Updated at 2016-09-30
PDM, Updated at 2016-09-30
PES, Updated at 2016-09-30
PETUN.IS, Updated at 2016-09-30
PFE, Updated at 2016-10-02
PFIZ34.SA, Updated at 2016-10-02
PGAS.JK, Updated at 2016-09-30
PHLYS.OL, Updated at 2016-09-30
PIU.LM, Updated at 2016-09-30
PIUi.LM, Updated at 2016-09-30
PKENT.IS, Updated at 2016-09-30
PLOW.K, Updated at 2016-09-30
PLT, Updated at 2016-09-30
POY1V.HE, Updated at 2016-09-30
PPL, Updated at 2016-09-30
PRO, Updated at 2016-09-30
PRTS.O, Updated at 2016-10-01
PTM.TO, Updated at 2016-05-31
QLT.TO, Updated at 2016-09-30
QOIS.QA, Updated at 2016-09-30
QTNT.O, Updated at 2016-09-30
QUMU.O, Updated at 2016-09-30
QUOT.K, Updated at 2016-09-30
RDC, Updated at 2016-09-30
RDCM.O, Updated at 2016-09-30
RECI.MI, Updated at 2016-09-30
REDI.NS, Updated at 2016-09-30
RHEAG.IS, Updated at 2016-09-30
RIGL.O, Updated at 2016-09-30
RMD.V, Updated at 2016-08-31
RNA.LM, Updated at 2016-09-30
RNW.TO, Updated at 2016-09-30
ROP, Updated at 2016-09-30
RPT, Updated at 2016-09-30
RSL.V, Updated at 2016-08-31
RSPP.K, Updated at 2016-09-30
RUP.V, Updated at 2016-08-31
SAFES.ST, Updated at 2016-09-30
SAH, Updated at 2016-09-30
SAN, Updated at 2016-09-30
SANM.O, Updated at 2016-10-01
SASA.IS, Updated at 2016-09-30
SAVEN.PA, Updated at 2016-09-30
SB, Updated at 2016-09-30
SCAI.O, Updated at 2016-09-30
SCMA.JK, Updated at 2016-09-30
SHJ.V, Updated at 2016-08-31
SHOO.O, Updated at 2016-09-30
SIAE.SI, Updated at 2016-09-30
SIAi.LM, Updated at 2016-09-30
SIN.LM, Updated at 2016-09-30
SMLE3.SA, Updated at 2016-09-30
SMLE3S.SA, Updated at 2016-09-30
SMLE3T.SA, Updated at 2016-09-30
SNBC.O, Updated at 2016-09-30
SNJ1.LM, Updated at 2016-09-30
SNKRN.IS, Updated at 2016-09-30
SPP, Updated at 2016-09-30
SUI, Updated at 2016-09-30
SVBI.O, Updated at 2016-09-30
SWGE.BO, Updated at 2016-09-30
SWOLb.ST, Updated at 2016-09-30
SXA.AX, Updated at 2016-09-30
SYN, Updated at 2016-09-30
TAP, Updated at 2016-09-30
TAPa, Updated at 2016-09-30
TAV.LM, Updated at 2016-09-30
TIMP3.SA, Updated at 2016-09-30
TKNSA.IS, Updated at 2016-09-30
TNAV.O, Updated at 2016-09-30
TNDM.O, Updated at 2016-09-30
TNET.K, Updated at 2016-09-30
TRI.TO, Updated at 2016-09-30
TSE, Updated at 2016-09-30
TSRA.O, Updated at 2016-09-30
TSU, Updated at 2016-09-30
TTEX.NS, Updated at 2016-09-30
TUPRS.IS, Updated at 2016-09-30
TVAb.TO, Updated at 2016-09-30
TWIN.O, Updated at 2016-09-30
ULTI.O, Updated at 2016-09-30
ULTJ.JK, Updated at 2016-09-30
UNR1V.HE, Updated at 2016-09-30
VECO.O, Updated at 2016-09-30
VRSK.O, Updated at 2016-09-30
WBMD.O, Updated at 2016-09-30
WCG, Updated at 2016-09-30
WCIC.K, Updated at 2016-09-30
WCN.TO, Updated at 2016-09-30
WGSR.NS, Updated at 2016-09-30
WING.O, Updated at 2016-09-24
WINS.JK, Updated at 2016-09-30
WLB.O, Updated at 2016-09-30
WML.V, Updated at 2016-08-31
WMLP.K, Updated at 2016-09-30
WNR, Updated at 2016-09-30
WNRL.K, Updated at 2016-09-30
WPP.L, Updated at 2016-09-30
WPPGY.O, Updated at 2016-09-30
WR, Updated at 2016-09-30
WU, Updated at 2016-09-30
WUNI34.SA, Updated at 2016-09-30
XBR.CD, Updated at 2016-08-31
XXIA.O, Updated at 2016-09-30
XYL, Updated at 2016-09-30
Y, Updated at 2016-09-30
Z.O, Updated at 2016-09-30
ZBH, Updated at 2016-09-30
ZG.O, Updated at 2016-09-30
ZMD.V, Updated at 2016-08-31
ZYDS.NS, Updated at 2016-09-30
